STT,Category,Content
1,Thế giới,"Sự xuất hiện của cựu Đệ nhất phu nhân Melania Trump tại sự kiện vận động tranh cử ở Madison Square Garden, thành phố New York tối 27/10 gây bất ngờ bởi bà không có tên trong danh sách diễn giả được ban chiến dịch tranh cử của ông Trump công bố.
Trong bài phát biểu dài gần 5 phút, bà Melania cho rằng nước Mỹ đang phải đối mặt tình trạng chất lượng đời sống giảm sút.
“Chúng ta hãy cùng nhau gánh vác trách nhiệm với tầm nhìn chung về xây dựng sự vĩ đại của nước Mỹ. Hãy nắm bắt thời khắc này và tạo dựng nên đất nước cho ngày mai, tương lai mà chúng ta xứng đáng được hưởng”, bà Melania nói.
Cựu Đệ nhất phu nhân kết thúc bài phát biểu bằng lời giới thiệu ông Donald Trump lên sân khấu. Ông bước ra giữa tiếng vỗ tay và reo hò lớn.
Bà Melania Trump hầu như không tham dự bất kỳ sự kiện vận động tranh cử công khai nào cùng chồng. Cuộc vận động tranh cử ở Madison Square Garden là sự kiện đầu tiên bà xuất hiện trong chuỗi chiến dịch của năm nay. Hồi tháng 7 năm nay bà Melania tham dự Đại hội toàn quốc của Đảng Cộng hòa nhưng không phát biểu.
Bà Melania thể hiện nhiều ý kiến công khai trong những tuần gần đây khi quảng bá cuốn hồi ký mới nhất, được xuất bản trong tháng 10.
Cuốn hồi ký của bà Melania gây chú ý khi trong đó bà bày tỏ ủng hộ quyền phá thai và việc phụ nữ được quyết định về thân thể mình “dựa trên nhận thức của chính họ”. Quan điểm của bà trái ngược với cựu Tổng thống Trump trong vấn đề này."
2,Thế giới,"Theo thông tin từ Trung tâm Khí tượng Quốc gia Trung Quốc, do ảnh hưởng của bão Trà Mi, trong ngày 27/10, phía Nam đảo Hải Nam và đảo Đài Loan đã có mưa to đến rất to. Một số khu vực ven biển ở tỉnh Quảng Đông, Quảng Tây và Hải Nam có gió lớn cấp 7-9, giật cấp 10-11.
Trong 2 ngày tới, do ảnh hưởng của áp thấp nhiệt đới sau khi bão Trà Mi suy yếu và không khí lạnh, đảo Hải Nam của nước này tiếp tục hứng chịu mưa lớn tăng cường, có nơi mưa rất to. Đặc biệt trong ngày 29/10, lượng mưa trong ngày ở phía Đông hòn đảo có thể lên tới 250-300mm.
Trong khi đó, cơn bão số 21 của Trung Quốc có tên quốc tế là “Kong-rey” đã mạnh lên và tăng cấp thành bão nhiệt đới dữ dội vào sáng 28/10. Cơn bão mới ngay sau bão Trà Mi này được dự báo là sẽ di chuyển theo hướng Tây-Tây Bắc với tốc độ 10-15 km/giờ và cường độ tăng dần, mạnh nhất có thể đạt cấp bão mạnh hoặc siêu bão và sẽ đổ bộ vào bờ biển phía Đông đảo Đài Loan vào ngày 31/10.
Trong 3 ngày tới, nhiều địa phương ở miền Nam và phía Đông Trung Quốc như đảo Hải Nam, Phúc Kiến, Đài Loan, Chiết Giang, Thượng Hải sẽ có mưa to đến rất to, phía Bắc như Hắc Long Giang, Tân Cương, Nội Mông sẽ có tuyết.
Bão Kong-rey hình thành và mạnh lên trong bối cảnh bão Trà Mi sau khi càn quét từ 22/10 đã gây thiệt hại nặng nề cho Philippines. Theo thông tin chính thức từ giới chức nước này ngày 28/10 đăng trên truyền thông Trung Quốc, bão Trà Mi đã khiến 116 người chết và 39 người mất tích, hơn 6,71 triệu người ở Philippines bị ảnh hưởng. Bão Trà Mi đã trở thành cơn bão gây thiệt hại nặng nề nhất về người tại quốc gia Đông Nam Á này kể từ đầu năm tới nay."
3,Thế giới,"Tân Hoa xã dẫn nguồn tin của Hãng thông tấn trung ương Triều Tiên (KCNA) ngày 28/10 cho biết, người phát ngôn Bộ Quốc phòng Triều Tiên ngày 27/10 đã công bố kết quả điều tra cuối cùng về việc thiết bị bay không người lái (UAV) của Hàn Quốc xâm nhập vào Bình Nhưỡng. Kết quả xác định quân đội Hàn Quốc là “đối tượng và thủ phạm” của vụ việc, với mục đích thả truyền đơn chính trị chống Triều Tiên.
Người phát ngôn cho biết, một nhóm điều tra chung gồm các cơ quan chuyên môn có liên quan như Bộ Quốc phòng và Bộ An ninh Quốc gia Triều Tiên đã tháo rời mô-đun điều khiển bay từ mảnh vỡ của máy bay không người lái bị rơi và phân tích toàn diện kế hoạch bay cũng như dữ liệu lịch sử chuyến bay của các UAV này.
Theo kết quả điều tra do Bộ Quốc phòng Triều Tiên công bố, UAV của Hàn Quốc đã bay qua Bình Nhưỡng ít nhất 3 lần vào các ngày 8 và 9/10 để rải truyền đơn chống Triều Tiên.
Trong quá trình phân tích, phía Triều Tiên cũng cho biết đã phát hiện 238 kế hoạch và dữ liệu bay từ ngày 5/6/2023 đến ngày 8/10/2024. Trong đó, hồ sơ ngày 8/10 cho thấy, UAV đã ghi lại rõ ràng kế hoạch thả dù và lịch sử thả truyền đơn tuyên truyền chống Triều Tiên. UAV đã rời khỏi đảo biên giới của Hàn Quốc vào đêm muộn ngày 8/10 và rải truyền đơn trên các tòa nhà của Bộ Ngoại giao và Bộ Quốc phòng Triều Tiên ở Bình Nhưỡng vài giờ sau đó.
KCNA cũng dẫn lời phát ngôn viên Bộ Quốc phòng Triều Tiên tái khẳng định, nước này “đã đưa ra lời cảnh báo cuối cùng trước những hành động khiêu khích chính trị và quân sự của quân đội Hàn Quốc”. Nếu Hàn Quốc xâm phạm chủ quyền của Triều Tiên một lần nữa, Triều Tiên sẽ “tấn công không thương tiếc, nhằm khiến nguồn gốc của mọi thảm họa và thành trì khiêu khích biến mất vĩnh viễn”.
VOV.VN - Bộ Ngoại giao Trung Quốc hôm nay (24/10) khẳng định, nước này không biết về việc quân đội Triều Tiên có mặt ở Nga sau khi Hàn Quốc và Mỹ cho biết Triều Tiên đã điều 3.000 quân tới Nga để có thể triển khai tới Ukraine sau đó."
4,Thế giới,"Bộ Ngoại giao Hàn Quốc hôm nay cho biết, các cuộc hội đàm sẽ diễn ra tại thủ đô Washington, Mỹ vào ngày 31/10 giữa Ngoại trưởng Cho Tae-yul, Bộ trưởng Quốc phòng Kim Yong-hyun, Ngoại trưởng Mỹ Antony Blinken và Bộ trưởng Quốc phòng Lloyd Austin. Chương trình nghị sự sẽ tập trung vào tình hình bán đảo Triều Tiên, liên minh Mỹ - Hàn, cùng các vấn đề khu vực và toàn cầu khác. Hai nước dự kiến sẽ thông qua tuyên bố chung dựa trên kết quả đàm phán.
Cũng trong khuôn khổ các hoạt động tại Washington, Ngoại trưởng Mỹ Antony Blinken và Ngoại trưởng Hàn Quốc Cho Tae-yul sẽ có cuộc hội đàm riêng về liên minh Mỹ - Hàn, hợp tác 3 bên với Nhật Bản và phản ứng phối hợp trước các mối đe doạ từ Triều Tiên.
Thông tin về các cuộc đàm phán đưa ra trùng thời điểm Hãng thông tấn chính thức Triều Tiên KCNA công bố kết quả phân tích dữ liệu của chiếc máy bay không người lái bị rơi ở Bình Nhưỡng hồi đầu tháng này. Theo đó chiếc máy bay cất cánh từ một đảo biên giới của Hàn Quốc ở biển Hoàng Hải: “Người phát ngôn Bộ Quốc phòng Triều Tiên đã công bố kết quả điều tra cuối cùng về hành vi vi phạm chủ quyền quốc gia, xác nhận điểm cất cánh, lộ trình xâm nhập và mục đích xâm nhập của máy bay không người lái từ Hàn Quốc được phát hiện ở khu vực thủ đô của chúng tôi”.
Trước đó, Triều Tiên tuyên bố máy bay không người lái của Hàn Quốc mang theo tờ rơi tuyên truyền chống Triều Tiên đã được phát hiện trên bầu trời đêm Bình Nhưỡng ba lần trong tháng này và đe dọa sẽ đáp trả bằng vũ lực nếu những chuyến bay như vậy tiếp tục xảy ra.
Phản ứng trước những cáo buộc của Triều Tiên, người phát ngôn của Hội đồng Tham mưu trưởng liên quân (JCS) Hàn Quốc Lee Sung- Jun nhấn mạnh: ""Không có giá trị gì khi xác nhận những tuyên bố đơn phương của Triều Tiên, cũng như phản hồi lại những tuyên bố đó… Nếu máy bay không người lái của Triều Tiên  xâm nhập không phận Hàn Quốc, chúng tôi sẽ phản ứng tương ứng và thực hiện các biện pháp thích hợp để bảo vệ sự an toàn và tài sản của người dân. Như chúng tôi đã cảnh báo nhiều lần, quân đội Hàn Quốc đang trong tư thế sẵn sàng và sẽ phản ứng thích hợp"".
Căng thẳng trên bán đảo Triều Tiên đã tăng cao nhất trong nhiều năm sau khi Quốc hội Triều Tiên hồi giữa tháng này tiến hành sửa đổi hiến pháp và lần đầu tiên gọi Hàn Quốc là ""quốc gia thù địch"". Nước này cũng đã cho nổ tung các đoạn đường bộ và đường sắt cuối cùng nối với Hàn Quốc.
Cuối tuần trước, Hàn Quốc và Mỹ đã lần đầu tiên tiến hành cuộc tập trận chung quy mô lớn mang tên “Freedom Flag”, với sự tham gia của không quân Hàn Quốc, Mỹ và Australia. Bộ Ngoại giao Triều Tiên đã lên án mạnh mẽ các cuộc tập trận, mô tả đây là “hành động khiêu khích quân sự nguy hiểm nhằm tung đòn phủ đầu đối với Triều Tiên"".
Nguồn tin Chính phủ Hàn Quốc tiết lộ nước này đang cân nhắc cử nhân sự đến Ukraine để theo dõi chiến thuật và năng lực chiến đấu của lực lượng đặc nhiệm Triều Tiên triển khai tới hỗ trợ Nga."
5,Thế giới,"Phương pháp này được áp dụng trong bối cảnh dịch sốt xuất huyết đang hoành hành ở Quảng Châu. Theo dữ liệu của Trung tâm Kiểm soát và Phòng ngừa Dịch bệnh thành phố công bố mới đây, từ 14-20/10, Quảng Châu đã báo cáo 497 ca sốt xuất huyết mới, tăng 13,73% so với cùng kỳ tháng trước. Hơn 150 khu vực ở Quảng Châu hiện đã phải triển khai công tác quản lý bệnh sốt xuất huyết do đang đối mặt với nguy cơ bùng phát dịch.
Cùng thời điểm, tại làng Hiệp Thạch, quận Bạch Vân, thành phố Quảng Châu, một đội chuyên gia đã thả 300.000-500.000 con muỗi đực đã được triệt sản mỗi tuần để ngăn chặn và kiểm soát sự lây lan của dịch bệnh. Theo truyền thông địa phương, công nghệ kiểm soát sinh học “diệt muỗi bằng muỗi” này đã được triển khai 7 năm và được chứng minh là có hiệu quả, đến nay trong làng chưa có một trường hợp nào mắc bệnh sốt xuất huyết.
Nhà nghiên cứu Cam Nhậm Hiền (Gan Renxian) cho biết, khác với muỗi thông thường, những con muỗi này là muỗi vằn đực (muỗi Aedes albopictus) mang vi khuẩn Wolbachia. Ông gọi những con muỗi này là “muỗi có lợi” hay “muỗi đực triệt sản”.
Ông giải thích thêm: “Những con muỗi đực này không cắn hoặc hút máu, khiến chúng trở thành một giải pháp bền vững để giảm quần thể muỗi vằn”. Chiến lược này nhằm mục đích giảm số lượng muỗi vằn bằng cách thả những con đực đã triệt sản, khi giao phối với muỗi cái bên ngoài tự nhiên sẽ đẻ ra những quả trứng không nở và không thể trở thành muỗi.
Theo chuyên gia này, năm nay, do bị ảnh hưởng bởi thời tiết mưa nhiều, muỗi vằn hoạt động sớm hơn và thời gian hoạt động kéo dài hơn ở Quảng Châu. Chiến lược “kiểm soát muỗi bằng muỗi” này được áp dụng nhằm giảm số lượng muỗi vằn tại địa phương."
6,Thế giới,"Ngay từ đầu cuộc họp báo, thủ tướng Ishiba đã thừa nhận thất bại tại tổng tuyển cử lần này là rất nghiêm trọng, nhưng cũng là động cơ để đảng cầm quyền Tự do Dân chủ (LDP) thúc đẩy cải cách, hướng tới một sự thay đổi với một diện mạo mới, đồng thời khẳng định sẽ tiếp tục liên kết, hợp tác chặt chẽ với đảng Công minh (Komei) trong liên minh cầm quyền để giải quyết các vấn đề còn tồn tại, lấy lại lòng tin, sự ủng hộ của nhân dân và cử tri cả nước.
Ông Ishiba nói: “Kết quả bầu cử lần này là sự phán xét nghiêm khắc của nhân dân và cử tri, là bài học cảnh tỉnh cần được đón nhận một cách khiêm cung, nghiêm túc để có một chính đảng hợp lòng dân. Đảng tự do Dân chủ đã rút ra một bài học sâu sắc, đã thức tỉnh để tiếp tục nỗ lực phấn đấu. Điều cần làm đầu tiên là phải có ngay những thay đổi trong nội bộ đảng, để đáp lại nguyện vọng và yêu cầu của nhân dân”.
Thủ tướng Ishiba cũng nhắc lại cam kết của cá nhân cũng như của LDP đối với nhân dân và cử tri cả nước, trong đó nhấn mạnh sẽ tiếp tục đẩy mạnh cải cách toàn diện với những nội hàm rộng lớn như: cải thiện tình hình kinh tế, kiến tạo và thúc đẩy sự phát triển của mô hình kinh tế tăng trưởng mới, kiềm chế vật giá leo thang song song với tăng thu nhập cho người lao động, phát triển các địa phương, xây dựng lại nền giáo dục, đầu tư sâu cho đổi mới sáng tạo, tiết kiệm năng lượng và an ninh năng lượng, phục hưng công nghiệp bán dẫn, tăng cường số hóa, phát triển tự động hóa, giải quyết vấn đề dân số lão hóa và thiếu hụt nhân lực, phòng chống tội phạm, phòng chống tiên tai...
Ông Ishiba nhấn mạnh tầm quan trọng của cải cách chính trị, coi đây là bàn đạp để thực hiện các mục tiêu trên: “Để hiện thực hóa tất cả những đầu việc trên, LDP sẽ nỗ lực, không phân biệt đảng phái chính trị, hợp tác cùng các chính đảng khác để cải cách chính trị và cùng tìm ra những biện pháp kinh tế hữu hiệu nhất. Trong bầu cử lần này, chúng tôi cũng nhận được một thông điệp từ nhân dân và cử tri là cần cải cách hơn nữa. Để đáp ứng yêu cầu đó, LDP sẽ nỗ lực nhằm tránh những bế tắc chính trị, đẩy mạnh cải cách kinh tế, tiếp tục đi đầu trong công cuộc tái sinh Nhật Bản”.
Liên quan đến các vấn đề ngoại giao, thủ tướng Ishiba khẳng định lại quan điểm coi ngoại giao và an ninh – quốc phòng là hai bánh xe song hành, trong đó sẽ thắt chặt hơn nữa quan hệ đồng minh với Mỹ, song song với việc làm sâu sắc thêm quan hệ với các nước đối tác chiến lược và các nước láng giềng, không chỉ trong khuôn khổ song phương, mà tại cả các diễn đàn đa phương như: ASEAN, APEC, G7, G20.... Trước khi kết thúc họp báo, thủ tướng Ishiba còn cho biết sẽ nỗ lực nhằm sửa đổi Hiến pháp Nhật Bản, hướng tới kỷ niệm 70 năm thành lập đảng Tự do Dân chủ Nhật Bản vào năm 2025.
VOV.VN - Bắt đầu từ 7 giờ sáng 27/10, theo giờ Nhật Bản, hơn 45.000 điểm bỏ phiếu trên toàn quốc đã chính thức mở cửa cho cử tri. Trọng tâm chính của cuộc tổng tuyển cử lần này là liệu liên minh đảng cầm quyền có đảm bảo được đa số ghế và tiếp tục chính phủ liên minh của mình hay không, hay liệu phe đối lập sẽ gia tăng quyền lực."
7,Thế giới,"Cựu Tổng thống Mỹ Donald Trumpđã khép lại cuộc mít tinh tại Madison Square Garden ở New York ngày 27/10 bằng một bài phát biểu kéo dài 80 phút chỉ trích các đối thủ chính trị của mình, kiên quyết trong vấn đề người nhập cư và cam kết sẽ kích hoạt một đạo luật để dọn đường cho việc trục xuất trên quy mô lớn.
Nhưng chính những tiết mục mở màn cho cuộc mít tinh ở thành phố New York, một sự pha trộn giữa các nhà tài trợ, nghệ sĩ giải trí và các chính trị gia có quan điểm ""Nước Mỹ trên hết"" đã tạo nên một cơn thịnh nộ trong chiến dịch vào phút chót giữa những người theo đảng Dân chủ và một số người theo đảng Cộng hòa, vốn lo ngại rằng chương trình này sẽ làm tổn hại đến lập trường của các cử tri ôn hòa.
Theo đó, những người trung thành với ông Trump đã chỉ trích gay gắt một vài trong số những mục tiêu ưa thích của cựu Tổng thống Trump. Một ứng viên Hạ viện của đảng Cộng hòa từng thất bại thậm chí đã gọi bà Harris là ""kẻ phản Chúa"".
Cuộc biểu tình bắt đầu với Tony Hinchcliffe, một diễn viên hài kiêm người dẫn chương trình podcast, chỉ trích Puerto Rico tại thành phố có cộng đồng người Puerto Rico lớn nhất ở Mỹ. Khoảng 500.000 người Puerto Rico cũng sống ở bang chiến trường Pennsylvania - nơi bà Harris vận động tranh cử vào 27/10.
""Có rất nhiều thứ đang diễn ra, tôi không biết liệu các bạn có biết điều này không nhưng hiện tại có một hòn đảo rác nổi giữa đại dương. Tôi nghĩ nó được gọi là Puerto Rico"", ông Tony Hinchcliffe nói.
Câu nói này đã được những người ủng hộ ông Trump đón nhận nồng nhiệt. Ông Trump gần đây đã gọi Mỹ là ""thùng rác của thế giới"" khi ông chỉ trích những người nhập cư không có giấy tờ.
Sau cuộc mít tinh, chiến dịch của ông Trump đã tìm cách tránh xa Hinchcliffe và những bình luận của ông về Puerto Rico.
""Trò đùa này không phản ánh quan điểm của cựu Tổng thống Trump hay chiến dịch"", người phát ngôn chiến dịch của ông Trump - Danielle Alvarez cho biết trong một tuyên bố với CNN.
Tuy nhiên, chiến dịch của bà Harris sau khi nắm bắt được những bình luận về Puerto Rico, đã nhanh chóng cắt video và đăng lên các kênh truyền thông xã hội. Phó Tổng thống đã đến thăm một nhà hàng Puerto Rico ở Bắc Philadelphia vào 27/10, nơi bà thảo luận về tầm nhìn của mình đối với hòn đảo cùng với các kế hoạch giảm chi phí và tạo cơ hội cho cộng đồng người Puerto Rico trên đất liền.
Ngôi sao người Puerto Rico Bad Bunny, người có album ""Un Verano Sin Ti"" là album được phát trực tuyến nhiều nhất trên toàn cầu vào năm 2023, đã đăng một video bà Harris nêu rõ kế hoạch của mình cho Puerto Rico với 45 triệu người theo dõi trên Instagram của anh ngay sau khi ông Hinchcliffe rời khỏi sân khấu.
Thượng nghị sĩ đảng Cộng hòa Rick Scott của Florida, người có chiến dịch tái tranh cử phụ thuộc vào sự ủng hộ đáng kể từ cộng đồng người Puerto Rico của tiểu bang, cũng bày tỏ phản ứng dữ dội và viết về ""trò đùa"" này trên X rằng: ""Nó không hề buồn cười và không đúng sự thật. Người Puerto Rico là những con người tuyệt vời và là người Mỹ tuyệt vời!""
Một thành viên khác của đảng Cộng hòa ở Florida là Hạ nghị sĩ Carlos Gimenez, một đồng minh thân cận của ông Trump, cũng đã chỉ trích những phát biểu này.
""Đây không phải là trò đùa. Nó hoàn toàn vô học và vô duyên. Tony Hinchcliffe rõ ràng không hề buồn cười và chắc chắn không phản ánh các giá trị của tôi hoặc của đảng Cộng hòa"", ông cho hay.
Hạ nghị sĩ đảng Cộng hòa bang New York Anthony D'Esposito, người đang phải đối mặt với cuộc tái tranh cử đầy cạnh tranh, cũng nhận định trên X rằng: ""Tôi tự hào là người Puerto Rico. Điều duy nhất 'rác rưởi' là một vở hài kịch tệ hại. Hãy giữ vững thông điệp"".
Ông Hinchcliffe cho biết trên các phương tiện truyền thông xã hội rằng những người chỉ trích ông ""không có khiếu hài hước"".
Ông Trump chủ yếu bám sát kịch bản trong các bài phát biểu của mình, bao gồm cả lời khẳng định phổ biến hiện nay rằng các đối thủ chính trị của ông đại diện cho ""kẻ thù bên trong"" nước Mỹ.
""Chúng ta đang chạy đua với một cỗ máy cánh tả khổng lồ, gian dối và độc ác đang điều hành đảng Dân chủ. Họ là những kẻ thù bên trong. Chúng ta phải đánh bại họ"".
Một tiết mục khởi động khác do cựu người dẫn chương trình Fox News Tucker Carlson, đã nhắc lại những lời chỉ trích cũ của mình với bà Harris và ý tưởng, như ông mô tả, về việc người Mỹ ăn mừng khả năng bà đắc cử. Theo ông, khó có thể tưởng tượng nước Mỹ sẽ thế nào sau khi bà Harris giành chiến thắng. Ông cho rằng bất kỳ ai không ấn tượng với bà Harris sẽ bị gọi là ""quái vật"" hoặc ""tội phạm"".
VOV.VN - Hai ứng viên Donald Trump và Kamala Harris vẫn cạnh trạnh tranh sát nút khi cuộc đua vào Nhà Trắng tiến dần vào chặng cuối, khiến kết quả cuộc đua càng khó đoán định. Nếu thất cử, ông Trump sẽ tiếp tục phải giải quyết các rắc rối pháp lý mà không có quyền miễn trừ của Tổng thống."
8,Thế giới,"""Việc đưa bà Harris lên làm tổng thống sẽ là đánh cược với mạng sống của hàng triệu người. Con trai và con gái của các bạn sẽ phải nhập ngũ để chiến đấu trong một cuộc chiến tranh ở một quốc gia mà các bạn chưa từng nghe nói đến. Nhưng nếu tôi làm Tổng thống, điều đó sẽ không xảy ra"", ông Trump phát biểu tại cuộc vận động tranh cử ngày 26/10.
Cựu Tổng thống cũng nhắc lại tuyên bố rằng ông là người duy nhất có khả năng ngăn chặn một cuộc xung đột toàn cầu, lập luận rằng đối thủ đến đảng Dân chủ ""không có khả năng lãnh đạo"" và ""sẽ đưa nước Mỹ vào Thế chiến thứ III"".
Trong bài phát biểu chấp nhận đề cử của đảng Cộng hòa hồi tháng 7, ông Trump khẳng định sẽ ""chấm dứt mọi cuộc khủng hoảng quốc tế mà chính quyền hiện tại đã tạo ra"", đặc biệt là xung đột tại Ukraine và Gaza. Tuy nhiên, ông chưa bao giờ đưa ra kế hoạch cụ thể để hiện thực hóa tuyên bố trên nhưng liên tục cảnh báo rằng nước Mỹ có khả năng ""trượt sâu"" vào một cuộc thế chiến mới nếu chính quyền đương nhiệm tiếp tục hỗ trợ cho các cuộc chiến bên ngoài biên giới.
Trong chương trình podcast vừa được lên sóng với ông Joe Rogan, ông Trump cũng tuyên bố có thể đã ngăn chặn được cuộc tấn công của Hamas vào Israel vào ngày 7/10 năm ngoái bằng cách ""đảm bảo Tehran sẽ không có tiền để tài trợ cho các lực lượng ủy nhiệm của mình"". Một bài đăng trên Truth Social của ông cũng có nội dung tương tự khi cho rằng ""nếu bà Kamala thắng cử, Trung Đông sẽ chìm trong biển lửa trong bốn thập kỷ tiếp theo và con cháu của các bạn sẽ phải ra trận"".
Ứng viên đại diện đảng Cộng hòa đã nhiều lần hứa sẽ chấm dứt xung đột Ukraine trong vòng 24 giờ sau khi đắc cử, thậm chí trước khi tuyên thệ nhậm chức, bằng cách buộc cả hai bên phải đàm phán. Bà Harris đã chỉ trích cách giải quyết xung đột của ông Trump, tuyên bố rằng về cơ bản ông sẽ buộc Kiev phải đầu hàng. Tỏ ra nghi ngờ lời hứa hòa bình của cựu Tổng thống, phát ngôn viên Điện Kremlin Dmitry Peskov cho rằng ""không có một cây đũa thần"" có thể ngăn chặn cuộc chiến chỉ sau một đêm."
9,Thế giới,"Trong sự kiện vận động tranh cử ở Madison Square Garden, New York cuối tuần vừa qua, Giám đốc điều hành của Tesla và SpaceX, tỷ phú Elon Musk hứa hẹn sẽ tiết kiệm cho người nộp thuế Mỹ hàng nghìn tỷ USD dưới thời chính quyền Donald Trump nếu cựu Tổng thống trở lại Nhà Trắng một lần nữa.
Tại sự kiện ngày 27/10, vị tỷ phú công nghệ được hỏi rằng: “Ông nghĩ chúng ta có thể cắt giảm được bao nhiêu tiền từ ngân sách 6.500 tỷ lãng phí của chính quyền Biden-Harris?”.
“Tôi nghĩ rằng chúng ta có thể cắt giảm ít nhất 2.000 tỷ USD. Suy cho cùng, tất cả chi tiêu của chính phủ đều là tiền thuế. Cho dù đó là thuế trực tiếp hay chi tiêu của chính phủ, nó sẽ dẫn đến lạm phát hoặc trở thành thuế trực tiếp”, ông Musk trả lời.
“Tiền của các bạn đang bị lãng phí, và Bộ Hiệu quả Chính phủ (DOGE) sẽ giải quyết vấn đề đó! Chúng tôi sẽ giúp chính phủ không còn làm phiền và lấy tiền của bạn nữa”, ông Musk cam kết.
Trước đó, ông Trump cam kết sẽ bổ nhiệm ông Musk làm bộ trưởng phụ trách việc cắt giảm ngân sách nếu ông đắc cử thêm một nhiệm kỳ tổng thống Mỹ.
Khi đề xuất thành lập DOGE, cựu Tổng thống Trump tuyên bố đây sẽ là một lực lượng độc lập, được giao nhiệm vụ thực hiện kiểm toán tài chính và đưa ra các khuyến nghị cho những cải cách tài chính mà nước Mỹ cần.
Tuy nhiên, cả ông Trump và ông Musk đều chưa nêu cụ thể DOGE dự kiến sẽ hoạt động như thế nào, hoặc sẽ cắt giảm khoản ngân sách nào.
Ông Musk từng cảnh báo về tình trạng nợ của Mỹ, cho rằng quốc gia này có nguy cơ bị phá sản nếu không kiểm soát việc chi tiêu.
Hồi tháng 9, ông Musk nói rằng, mỗi 1.000 tỷ USD tiền nợ tăng thêm sẽ là tiền mà “con, cháu của chúng tôi sẽ phải trả bằng cách nào đó. Nếu nợ tiếp tục tăng theo tốc độ này, Mỹ sẽ bị mắc kẹt trong một vòng luẩn quẩn mà điều duy nhất mà chúng ta có thể trả là lãi suất”."
10,Thế giới,"Ông Alexander Gusev - Thống đốc khu vực Voronezh (Nga) cho biết, đám cháy bùng phát ở quận Anninsky đã khiến 2 công nhân bị thương. Ngoài ra, ông cho biết khoảng 10 máy bay không người lái (UAV) của Ukraine đã bị phá hủy hoặc bị chặn tại khu vực này vào chiều tối qua. Mảnh vỡ của các UAV đã làm hư hại một số tòa nhà trong khu vực.
Tuy nhiên, Bộ Quốc phòng Nga cho biết chỉ có một máy bay không người lái của Ukraine bị phá hủy tại vùng Voronezh, trong tổng số 21 máy bay bị bắn hạ trên lãnh thổ của Nga đêm qua.
Ukraine chưa đưa ra bình luận về thông tin này. Tuy nhiên, trước đó, phía Ukraine nhiều lần tuyên bố các cuộc tấn công bằng máy bay không người lái bên trong lãnh thổ Nga nhằm mục tiêu vào các cơ sở hạ tầng quan trọng, đáp trả các chiến dịch quân sự “đặc biệt” của Nga tại Ukraine.
VOV.VN - Các lực lượng Nga đã tiến sâu hơn vào một số thị trấn miền đông Ukraine, giúp họ đến gần hơn với mục tiêu chiếm giữ thị trấn chiến lược Pokrovsk, các blogger quân sự của Nga và Ukraine cho biết."
