STT,Category,Content
1,Xã hội,"Những ngày qua, hàng chục hộ dân sống ven bờ kênh T10 (Ấp 6, xã Xuân Thới Thượng, huyện Hóc Môn) đã thông báo đến các cơ quan chức năng khi phát hiện dòng nước kênh có màu đỏ bất thường. Một đoạn kênh T10 có chiều dài khoảng 200 mét bị nhuộm đỏ đậm đặc, xuất hiện nhiều bọt khí và có mùi hôi hắc.
Một vài người dân cho biết, dòng nước chuyển sang màu đỏ mới xuất hiện vào sáng ngày 27/10. Trước đó, nguồn nước ở dòng kênh này đã bị đổi màu nhiều lần, chủ yếu xuất hiện vào ban đêm hoặc khi trời có mưa lớn. Mỗi khi nước bị đổi màu, nếu không kịp thoát ra kênh lớn thì sẽ làm cho cỏ, lục bình bị chết, một số loại cá thì bơi nổi đầu.
“Xung quanh đây cũng có những công ty, nhà xưởng đang hoạt động. Tôi đoán có thể do công ty nào đó lợi dụng lúc trời mưa nên xả thải” - một người dân nghi ngờ.
Bà Nguyễn Thị Kim Phúc - Bí thư Đảng ủy xã kiêm Chủ tịch HĐND xã Xuân Thới Thượng cho biết, lãnh đạo xã đã thông báo đến Phòng Tài nguyên và Môi trường huyện Hóc Môn để phối hợp kiểm tra, tìm ra nguyên nhân nguồn nước chuyển màu.
Bà Phúc cho biết thêm, thời gian qua địa phương cũng thường xuyên tuyên truyền đến người dân và các cơ sở sản xuất phải tuân thủ đúng các quy định của pháp luật trong quá trình hoạt động, nhất là quy định liên quan đến bảo vệ môi trường."
2,Xã hội,"Ngày 28/10, thông tin từ Công an tỉnh và Ban ATGT tỉnh Bắc Ninh cho biết, khoảng 7h10 cùng ngày, tại Km18+200 thuộc thôn Hữu Bằng, xã Ngọc Xá, thị xã Quế Võ, tỉnh Bắc Ninh xảy ra vụ TNGT nghiêm trọng giữa xe tải BKS 25C-041.27 (do tài xế T.V.Q SN 2001, ở tỉnh Lào Cai điều khiển) và xe bồn chở bê tông (do tài xế N.V.T, SN 1964, ở thị xã Quế Võ, tỉnh Bắc Ninh điều khiển) và xe Mazda3 BKS 99A-557.97 (do tài xế N.V.T, SN 1994, ở huyện Lương Tài, tỉnh Bắc Ninh) điều khiển.
Hậu quả, 2 tài xế điều khiển xe tải và xe bồn mắc kẹt trong cabin, dù được lực lượng chức năng cắt xe giải cứu, đưa đến viện cấp cứu nhưng do vết thương quá nặng, cả hai nạn nhân đã tử vong.
Trước đó, như Báo Điện tử VOV đã thông tin, xe bồn chở bê tông tươi lưu thông hướng Hải Dương - Bắc Ninh, xe tải chở đất đi theo hướng ngược lại. Khi đến cổng Khu công nghiệp Quế Võ II đã xảy ra tai nạn.
Thời điểm hai xe đấu đầu nhau đúng lúc xe ô tô con BKS 99A-557.97 lưu thông hướng Hải Dương - Bắc Ninh đi tới nên bị đất đá văng trúng, làm hỏng xe.
Thời điểm này còn có 3 xe mô tô khác cũng bị va chạm mạnh làm hư hỏng phương tiện. Rất may, những người ngồi trên xe mô tô đã kịp bỏ xe chạy thoát khỏi hiện trường nên chỉ bị thương nhẹ.
Hiện, Cơ quan CSĐT Công an thị xã Quế Võ, Bắc Ninh đang tiếp tục điều tra, giải quyết vụ việc theo quy định."
3,Xã hội,"Người chết não hiến tạng là anh Lê Tiến Sơn, 36 tuổi, ở Hà Nam, là công nhân lái xe máy xúc. Ngày 16/10 vừa qua, anh Sơn thấy đau đầu rất dữ dội, tê bì chân tay nên được đưa đi cấp cứu. Khi đến Trung tâm Cấp cứu A9, Bệnh viện Bạch Mai, anh Sơn trong tình trạng hôn mê, ngừng tuần hoàn, lập tức được cấp cứu, nhịp tim đập trở lại.
Mặc dù tái lập được tuần hoàn tự nhiên nhưng bệnh nhân này vẫn hôn mê sâu do bị vỡ đoạn phình động mạch đốt sống phải. Sau một thời gian được cấp cứu, can thiệp bằng kỹ thuật hiện đại, nhưng bệnh nhân Sơn không đáp ứng với điều trị và không qua khỏi. Khi anh Sơn rơi vào tình trạng chết não, gia đình đã thực hiện nghĩa cử cao đẹp, đồng ý hiến mô tạng.
Phó Giáo sư, Tiến sĩ Đồng Văn Hệ, Giám đốc Trung tâm Điều phối quốc gia về ghép bộ phận cơ thể người cho biết: “Chúng tôi đánh giá rất cao nghĩa của của gia đình anh Lê Tiến Sơn. Trường hợp này cũng cho thấy sự phối hợp giữa Bệnh viện Bạch Mai và các bệnh viện nhận tạng và Trung tâm Điều phối đã thực hiện đúng các quy định của luật pháp, đảm bảo tính minh bạch và công bằng đối với người nhận mô, tạng…”
Dưới sự chỉ đạo và hỗ trợ của Trung tâm điều phối ghép tạng quốc gia, Bệnh viện Việt Đức, Bệnh viện Trung ương Quân Đội 108, Bệnh viện Bạch Mai, Bệnh viện Trung ương Huế… đã phối hợp tiến hành phẫu thuật lấy tạng của người hiến để ghép cho người nhận. Trước khi tiến hành phẫu thuật, Ban Giám đốc Bệnh viện Bạch Mai cùng tất cả các đồng nghiệp trong ê kíp tri ân anh Lê Tiến Sơn và gia đình.
Phó Giáo sư, Tiến sĩ Đào Xuân Cơ, Giám đốc Bệnh viện Bạch Mai chia sẻ: “Theo sự điều hành của Trung tâm Điều phối Ghép tạng Quốc gia, trái tim của người bệnh chết não được vận chuyển vào Bệnh viện Trung ương Huế để tiến hành ghép tim cho một người bệnh suy tim. Chúng tôi cũng cảm ơn các chiến sĩ công an đã hộ tống đoàn cán bộ di chuyển trái tim đến sân bay Nội Bài, cảm ơn sự phối hợp của hãng hàng không Vietjet vận chuyển tim vào thành phố Huế…”
Ngoài trái tim được ghép tại Bệnh viện Trung ương Huế, lá gan của anh Lê Tiến Sơn được vận chuyển đến Bệnh viện Trung ương Quân Đội 108 để ghép cho người bệnh suy gan, 2 quả thận được các thầy thuốc Bệnh viện Trung ương Quân đội 108 triển khai ghép ngay tại Bệnh viện Bạch Mai cho 2 người bệnh suy thận giai đoạn cuối. Bệnh viện Bạch Mai cho biết, thời gian tới sẽ ra mắt Chi hội Vận động hiến mô tạng và tiến tới sẽ thực hiện thường quy phẫu thuật lấy mô tạng và ghép mô tạng."
4,Xã hội,"
Mỗi ngày, Bệnh viện Nội tiết tỉnh Sơn La tiếp nhận khoảng 150 lượt bệnh nhân đến khám và điều trị các bệnh chủ yếu như bướu cổ, viêm giáp, suy giáp, basedow, đái tháo đường…
Bà Lò Thị Phụng, ở bản Giàn Bon, xã Mường Bằng, huyện Mai Sơn (Sơn La) có bàn chân sưng tấy, nhiều chỗ phồng rộp, đau và bỏng rát đang nằm điều trị tại Bệnh viện cho biết, bà bị tiểu đường từ 20 năm nay, đã từng nằm viện điều trị một vài lần và cũng đã đỡ. Tuy nhiên lần này, khi bàn chân sưng đau, đến khám, bà được các bác sĩ chẩn đoán bị biến chứng tiểu đường, nên lại phải nằm viện để điều trị.
Bà Tòng Thị Múa 60 tuổi, ở bản Còng, xã Phổng Lăng, huyện Thuận Châu (Sơn La) bị bệnh bướu cổ, vào viện điều trị được 1 tuần, cho biết: từ 40 năm nay, cổ của bà có cục bướu to bất thường so với người khác và nó cũng to dần theo thời gian. Tuy nhiên, vì không đau và cũng không có biểu hiện gì bất thường, nên bà cũng không đến bệnh viện để khám.
Gần đây, cổ họng của bà bị đau, lại rất khó thở, nên bà được con cháu đưa đến Bệnh viện Nội tiết tỉnh để khám.
""Tôi xin giấy chuyển viện từ Thuận Châu về đây, được các bác sỹ cho nằm viện, chăm sóc, cho uống thuốc, bệnh của tôi mới thuyên giảm, dễ thở hơn nhiều so với khi ở nhà"", bà Múa nói.
Theo thống kê của bệnh viện Nội tiết tỉnh Sơn La, 9 tháng năm 2024 đã có hơn 20 nghìn lượt bệnh nhân đến khám, điều trị các bệnh bướu cổ, viêm giáp, suy giáp, basedow, đái tháo đường, ung thư tuyến giáp…Trong đó, tổng số bệnh nhân điều trị nội trú khoảng 2.000 lượt người; còn lại là điều trị ngoại trú. Công suất sử dụng giường bệnh trong 9 tháng là 78,4%, tăng 8,4% so với cùng kỳ năm trước. Đáng chú ý là số lượng người mắc các bệnh rối loạn nội tiết – chuyển hóa có xu hướng gia tăng và trẻ hóa về độ tuổi.
Bệnh nhân Lò Văn On, hơn 20 tuổi, dân tộc Lào, ở xã Mường Và huyện Sốp Cộp, tỉnh Sơn La cho biết, ở nhà có hiện tượng sụt cân, ù tai, nói mất tiếng, run rẩy chân tay, mắt mờ nhìn không rõ... nên rất lo lắng. Ra tỉnh khám, được bác sỹ chuẩn đoán bị basedow tuyến giáp. Sau 7 ngày nằm viện, hiện sức khoẻ đã ổn định trở lại.
Theo bác sỹ CKI Nguyễn Hữu Chiến, Phó Giám đốc Bệnh viện Nội tiết tỉnh Sơn La, nguyên nhân dẫn đến các bệnh rối loạn nội tiết – chuyển hóa như đái tháo đường, bướu cổ, basedow... chủ yếu do chế độ ăn không cân đối, thiếu hụt i ốt trong chế độ ăn uống, lạm dụng các loại thuốc giảm đau, chống viêm và không luyện tập thể dục thể thao...
Nhằm không ngừng nâng cao chất lượng chăm sóc sức khoẻ cho nhân dân, phát huy tốt vai trò là bệnh viện chuyên khoa nội tiết hàng đầu tuyến tỉnh, đơn vị đã và đang triển khai nhiều giải pháp tích cực.
""Hiện tại bệnh viện đã có 15 bác sỹ, thạc sỹ, trong đó có 6 bác sỹ chuyên khoa 1. Ngoài tiếp tục cử nhân viên tham gia các khoá đào tạo để cập nhật kiến thức mới và nâng cao trình độ chuyên môn, chúng tôi cũng sẽ tiếp tục phát triển các dịch vụ kỹ thuật mới; đầu tư nâng cấp các trang thiết bị hiện đại như máy siêu âm, máy điện tim, máy sinh hoá miễn dịch tự động… để phục vụ công tác khám chữa bệnh, điều trị tại các khoa lâm sàng. Cùng với đó là tiếp tục ứng dụng kỹ thuật số trong đặt lịch khám, điều trị và sử dụng phần mềm ứng dụng thanh toán không dùng tiền mặt tại bệnh viện để tạo thuận lợi cho người dân"", bác sĩ Chiến cho biết.
Các bệnh lý rối loạn nội tiết - chuyển hóa thường phải điều trị kéo dài, gây gánh nặng về kinh tế cho người bệnh và xã hội; làm suy kiệt sức khỏe, giảm khả năng lao động, học tập của người bệnh. Chính vì vậy, để giảm nguy cơ mắc các bệnh rối loạn nội tiết – chuyển hóa, mỗi người dân cần có chế độ sinh hoạt, nghỉ ngơi và dinh dưỡng hợp lý. Cùng với đó là kiểm tra sức khỏe định kỳ nhằm giúp phát hiện sớm và ngăn ngừa bệnh hiệu quả."
5,Xã hội,"
Ngay sau khi bão tan, Công ty Điện lực Thừa Thiên Huế đã huy động 300 công nhân, đồng loạt triển khai kiểm tra đường dây, các thiết bị trên lưới điện để khắc phục cấp điện trở lại.
Đến 23 giờ ngày 27/10 đã khôi phục cấp điện trở lại cho hầu hết các khách hàng, chỉ còn 6,3% khách hàng, chủ yếu trên các nhánh rẽ khu vực các huyện Phú Vang, Phú Lộc, thị xã Hương Thủy thuộc vùng trũng bị ngập nước chưa tiếp cận được.
Đến trưa nay 28/10 Công ty Điện lực Thừa Thiên Huế đã khôi phục cho các phụ tải toàn tỉnh.
Ông Hồ Nghĩa, Phó Giám đốc Công ty Điện lực Thừa Thiên Huế  cho biết:“Các sự cố xảy ra thì làm mất điện khoảng 56% khách hàng của tỉnh Thừa Thiên Huế trên toàn tỉnh. Với sự nỗ lực của toàn bộ cán bộ công nhân viên của Công ty đến 23 giờ ngày 27/10 thì đã khôi phục được phần lớn các sự cố xảy ra và còn mất điện khoảng 6% khách hàng, Đến trưa hôm nay (28/10) thì công ty tiếp tục triển khai công tác  khôi phục 100% phụ tải”."
6,Xã hội,"Tham gia Cuộc thi này có hơn 1.500 học sinh của Trường Trung học phổ thông Bình Sơn. Mỗi học sinh tham gia Cuộc thi làm một bài tự luận tối thiểu 1.500 từ. Nội dung bài viết nói lên tình cảm, hiểu biết của bản thân về biển, đảo; về lực lượng Cảnh sát biển, Luật Cảnh sát biển Việt Nam; về tác hại của ma túy và cách phòng tránh… Cuộc thi diễn ra từ ngày 28/10 đến 11/11. Mỗi lớp học chọn ra 5 bài thi tiêu biểu nhất để dự thi vòng chung khảo.
Đại tá Trần Hồng Quế, Phó Chính ủy Vùng Cảnh sát biển 2 cho biết, cuộc thi diễn ra ở thời điểm hết sức có ý nghĩa, khi cả nước đang sôi nổi tổ chức nhiều hoạt động thiết thực hưởng ứng “Ngày Pháp luật của nước Cộng hòa XHCN Việt Nam và Ngày Nhà giáo Việt Nam”.
Cuộc thi là cách để đổi mới nội dung, hình thức tuyên truyền, phổ biến, giáo dục pháp luật trong nhân dân, từ đó nâng cao nhận thức, đề cao trách nhiệm thượng tôn pháp luật, góp phần xây dựng nhà nước pháp quyền xã hội chủ nghĩa. Đây cũng là sân chơi lành mạnh, bổ ích giúp các em học sinh, thầy, cô giáo tìm hiểu, nắm rõ hơn pháp luật về biển, đảo; các văn bản của Nhà nước liên quan đến chủ quyền biển, đảo; về chức năng, nhiệm vụ của Cảnh sát biển Việt Nam; tác hại và cách phòng chống ma túy và bạo lực trong học đường."
7,Xã hội,"Người dân vùng trũng huyện Lệ Thủy đang khẩn trương kê cao đồ đạc do trời tiếp tục mưa lớn. Ông Ngô Văn Nguyên, ở thôn Thượng Hải, xã Ngư Thủy, huyện Lệ Thủy nói rằng, nước lũ năm nay lên rất nhanh, chỉ trong 1 đêm nước đã tràn vào nhà, nhiều nơi ngập sâu.
Mưa lớn vẫn tiếp diễn nên nước vẫn còn lên cao, suốt đêm qua người dân không ngủ được, thức canh nước lũ để kê cao đồ đạc, cứ kê lên đến đâu thì nước tiếp tục dâng lên đến đó.
Ông Ngô Văn Nguyên lo lắng: “Ngày qua mưa nhiều, hôm nay mưa nhiều hơn, trong nhà bây giờ nước lên quá đầu gối vì nhà ở chỗ cao, còn những nhà ở chỗ thấp nước dâng vào tới tận ngực. Hôm qua đến giờ đã bưng đồ đạc, đi gửi xe cộ, đưa tài sản lên trên cao cả rồi”.
Lượng mưa đo được từ đêm qua đến sáng nay tại tỉnh Quảng Bình trên 700mm, mưa lớn đã gây ngập lụt, chia cắt hơn 17.600 hộ dân tại tỉnh Quảng Bình, trọng điểm là các huyện Lệ Thủy, Quảng Ninh và thành phố Đồng Hới. Tại vùng rốn lũ huyện Lệ Thủy, tỉnh Quảng Bình trời tiếp tục mưa lớn, mực nước trên sông Kiến Giang đạt đỉnh lũ, trên báo động 3 và nước đang tiếp tục dâng cao.
Nếu tiếp tục mưa lớn trong tối hôm nay, có thể tình trạng ngập lụt sẽ lặp lại như trận lũ lụt lịch sử năm 2020 tại tỉnh Quảng Bình. Các tuyến đường ở trung tâm huyện Lệ Thủy đang bị ngập sâu trong nước, giao thông gần như bị tê liệt. Chính quyền huyện Lệ Thủy và các lực lượng chức năng đã bố trí lực lượng đến với các điểm, tuyến, khu vực có nguy cơ cao như xã Văn Thủy, Thái Thủy và các xã vùng thấp trũng Phong Thủy, Lộc Thủy, An Thủy, Phú Thọ để giúp dân di dời đến nơi an toàn.
Trong đêm tối, nhiều người dân ở vùng lũ Quảng Bình gọi điện, lên mạng xã hội kêu gọi giúp đỡ, mong được hỗ trợ di dời khẩn cấp vì nước lũ lên nhanh. Các tổ, nhóm xung kích, Công an quân đội đã trắng đêm giúp dân chống lũ.
Ông Lê Văn Quyết, Chủ tịch UBND xã An Thủy, huyện Lệ Thủy cho biết: “Khi lũ về, lực lượng của xã túc trực sẵn sàng, hỗ trợ nhân dân di chuyển từ chỗ thấp lên chỗ cao. Đặc biệt rút kinh nghiệm đợt mưa lũ năm 2020 nên năm nay lũ đợt này bà con không chủ quan”.
Thượng tá Trần Anh Tuấn, Trưởng Công an huyện Lệ Thủy cho biết, mưa lớn liên tục làm nước lũ lên nhanh, người dân nhiều nơi kêu cứu. Chính quyền địa phương cùng Công an huyện và lực lượng tại chỗ đã có mặt kịp thời giúp đỡ bà con. Mưa lớn vẫn đang tiếp diễn và chưa có dấu hiệu dừng lại, số hộ bị ngập lụt sẽ còn tăng cao. Theo Thượng tá Trần Anh Tuấn, hiện nay, Công an huyện Lệ Thủy huy động 100% quân số sẵn sàng giúp người dân di dời, ứng phó tình huống khẩn cấp.
“Trong đêm tối, nhiều người dân ở Lệ Thủy bằng các phương thức như gọi điện, lên mạng xã hội cầu cứu, mong được hỗ trợ giúp đỡ di dời khẩn cấp khi nước lũ lên nhanh. Các tổ nhóm xung kích Công an huyện Lệ Thủy đã trắng đêm giúp dân chống lũ. Đối với các vị trí cô lập thì chúng tôi chỉ đạo công an cơ sở và các tổ nhóm phản ứng nhanh kịp thời có mặt hỗ trợ nhu yếu phẩm để bà con yên tâm”, Thượng tá Trần Anh Tuấn nói."
8,Xã hội,
9,Xã hội,"Chiều nay (28/10), chính quyền xã Gia Ninh, huyện Quảng Ninh, tỉnh Quảng Bình cùng các lực lượng chức năng đang tập trung tìm kiếm 1 người đàn ông bị nước lũ cuốn trôi, mất tích.
Nạn nhân là ông Phạm Văn Cứ, 64 tuổi, ở xã Gia Ninh, huyện Quảng Ninh. Trưa cùng ngày, ông Cứ đang chuẩn bị đò để đi chở đồ nhưng không may gặp luồng nước chảy xiết. Nước lũ đã cuốn cả người lẫn đò ra xa bờ, sau đó chiếc đò bị lật, ông Cứ mất tích.
Chính quyền xã Gia Ninh phối hợp với Đội Cảnh sát Giao thông, Công an huyện Quảng Ninh nhanh chóng triển khai lực lượng và phương tiện tìm kiếm. Tuy nhiên do nước lũ dâng cao, gây ngập cả một vùng rộng lớn nên công tác tìm kiếm gặp nhiều khó khăn. Đến chiều tối nay 28/10, lực lượng chức năng vẫn chưa tìm thấy tung tích ông Cứ."
10,Xã hội,"Chiều 28/10, Bộ trưởng Bộ Tài nguyên và Môi trường (TN&MT) Đỗ Đức Duy đã giải trình, làm rõ một số vấn đề đại biểu Quốc hội nêu.
Bộ trưởng Bộ TN&MT Đỗ Đức Duy cho biết có tình trạng chênh lệch rất lớn giữa giá khởi điểm và giá trúng đấu giá, biểu hiện đầu cơ, thổi giá, tạo mặt bằng giá cao tại một số địa phương.
Về công tác đấu giá quyền sử dụng đất, Bộ trưởng Đỗ Đức Duy cho biết thời gian qua, tại một số địa phương tổ chức đấu giá quyền sử dụng đất có tình trạng chênh lệch rất lớn giữa giá khởi điểm và giá trúng đấu giá, có biểu hiện đầu cơ, thổi giá, tạo mặt bằng giá cao như các đại biểu nêu; việc này làm ảnh hưởng đến sự phát triển lành mạnh của thị trường bất động sản.
Thực hiện chỉ đạo của Thủ tướng, Bộ TN&MT đã kiểm tra, rà soát và nhận thấy có một số nguyên nhân dẫn đến tình trạng trên. Trong đó việc lập, công khai quy hoạch các khu vực phát triển đô thị, nhà ở chưa được thực hiện bài bản, công khai, minh bạch, tạo cơ hội để các đối tượng lợi dụng đầu cơ đất đai.
Bộ trưởng Đỗ Đức Duy cho biết một số đối tượng tham gia đấu giá đất không thực sự có nhu cầu về đất ở, nhà ở mà chủ yếu vì mục đích đầu cơ, thao túng giá thông qua việc đẩy giá cao, thổi giá và bán lại ngay đất vừa trúng đấu giá để thu lợi hoặc tạo mặt bằng giá ảo đối với khu vực xung quanh.
Trong đó, sau khi đấu giá một số người trúng đấu giá chưa nộp tiền sử dụng đất đúng thời hạn theo quy chế đấu giá, có dấu hiệu bỏ cọc.
Theo tư lệnh ngành TN&MT, một số địa phương thiếu sự chủ động trong việc tạo quỹ đất để đấu giá dẫn đến nhu cầu đất ở, nhà ở của người dân không được đáp ứng đầy đủ trong thời gian dài.
Bên cạnh đó, có trường hợp địa phương sử dụng giá đất trong bảng giá đất hiện hành chưa được điều chỉnh kịp thời, thấp hơn nhiều so với mặt bằng giá đất thực tế để làm giá khởi điểm, dẫn đến giá trúng đấu giá và giá khởi điểm có sự chênh lệch lớn cũng thu hút nhiều đối tượng tham gia đấu giá để kiếm lời.
Để khắc phục bất cập đối với việc đấu giá quyền sử dụng đất, ngoài việc phải triển khai thực hiện nghiêm các quy định của Luật Đấu giá tài sản Nhà nước, Luật Đất đai, Luật Giá và pháp luật có liên quan, tư lệnh ngành TN&MT đề nghị các địa phương khi tổ chức đấu giá đất cần công khai quy hoạch, kế hoạch sử dụng đất, quy hoạch xây dựng, quy hoạch đô thị.
Đồng thời, điều chỉnh hợp lý giá đất trong bảng giá đất làm cơ sở tính giá khởi điểm. Trong quy chế đấu giá, Bộ trưởng Đỗ Duy cho rằng có thể quy định rút ngắn thời gian nộp tiền thanh toán trúng đấu giá và bổ sung quy định việc công khai các trường hợp trúng giá cao nhưng bỏ cọc nhằm hạn chế các đối tượng lợi dụng đấu giá đất để trục lợi, thổi giá, gây nhiễu loạn thị trường bất động sản.
Bên cạnh đó, theo ông cần có các biện pháp bảo đảm nguồn cung bất động sản nhà ở, đất ở có giá cả hợp lý, phù hợp với khả năng tiếp cận và khả năng chi trả của đại đa số người dân có nhu cầu thực, khắc phục tình trạng mất cân đối cung - cầu trên thị trường bất động sản, bao gồm cả các sản phẩm đấu giá quyền sử dụng đất.
Bộ trưởng Đỗ Đức Duy cũng lưu ý việc cần tăng cường thanh tra, kiểm tra, đề nghị xử lý nghiêm các trường hợp vi phạm trong việc đấu giá sử dụng đất đai theo quy định.
Bộ TN&MT sẽ tiếp thu ý kiến đại biểu đề xuất một số giải pháp để quản lý, chấn chỉnh công tác đấu giá đất và phối hợp với các bộ ngành đề xuất các cấp có thẩm quyền..."
