STT,Category,Content
1,Kinh tế,"Trao đổi với phóng viên Báo Điện tử VOV, ông Nguyễn Đình Phương – Phó Giám đốc Sở Tài nguyên và Môi trường Bắc Ninh cho biết, thời gian qua Bắc Ninh xác định ô nhiễm môi trường làng nghề là vấn đề tồn tại hết sức nghiêm trọng. Với chức năng nhiệm vụ của ngành, Sở đã tham mưu, đánh giá cùng với địa phương về thực trạng, nguyên nhân tại sao lại gây ô nhiễm môi trường như vậy?
Theo ông Phương, tình trạng ô nhiễm hiện nay một phần là do ""lịch sử để lại"", các làng nghề truyền thống phát triển tự phát từ khi luật chưa ra đời, việc hiểu biết của người dân về ô nhiễm môi trường còn chưa đầy đủ. Thêm vào đó là trong hoạt động sản xuất sử dụng các công nghệ không đáp ứng được với hiện tại... dẫn đến tình trạng ô nhiễm môi trường diễn biến phức tạp tại các làng nghề truyền thống như Phú Lâm, Phong Khê…
Sở Tài nguyên và Môi trường Bắc Ninh đã tập trung lực lượng tham mưu cho Tỉnh uỷ, UBND tỉnh Bắc Ninh có những động thái quyết liệt đối với các cụm công nghiệp và 3 làng nghề nổi cộm là Phong Khê, Phú Lâm, Văn Môn… Doanh nghiệp nào không có giấy phép môi trường thì sẽ yêu cầu dừng sản xuất. Bên cạnh đó, tiếp tục tuyên truyền vận động để người dân và doanh nghiệp hiểu rõ hơn về Luật Bảo vệ môi trường, nhằm chung tay cùng với các cấp các ngành trong xử lý ô nhiễm môi trường.
""Quan điểm của tỉnh Bắc Ninh là kiên quyết không đánh đổi môi trường lấy kinh tế bằng mọi giá. Từ những vấn đề thực tiễn đó trong thời gian tới Tỉnh uỷ, UBND tỉnh Bắc Ninh đã chỉ đạo quyết liệt với các sở, ngành tập trung cao lực lượng, tuyên truyền vận động nhân dân thực hiện tốt luật bảo vệ môi trường.
Thành lập đoàn kiểm tra giám sát cá nhân, doanh nghiệp nào không đủ điều kiện hoạt động thì sẽ yêu cầu dừng sản xuất vĩnh viễn. Cá biệt hiện vẫn còn một số cá nhân, doanh nghiệp nhờn luật bất chấp vì lợi nhuận kinh tế, đổ trộm chất thải ra môi trường khiến môi trường đã ô nhiễm nay lại càng ô nhiễm hơn.""- ông Nguyễn Đình Phương khẳng định.
Như Báo Điện tử VOV đã đưa tin, trước tình trạng ô nhiễm môi trường tại làng nghề xã Văn Môn, huyện Yên Phong, tỉnh Bắc Ninh ngày càng phức tạp, ảnh hưởng tới đời sống, sinh hoạt của nhân dân, UBND tỉnh Bắc Ninh đã chỉ đạo tập trung quyết liệt các giải pháp, đẩy nhanh tiến độ triển khai thực hiện Đề án tổng thể xử lý môi trường làng nghề xã Văn Môn, giai đoạn 2022-2026.
Hiện, UBND xã Văn Môn cũng đang tích cực đẩy mạnh tuyên truyền, vận động các hộ sản xuất kinh doanh tại địa phương chuyển đổi mô hình sản xuất hoặc di dời cơ sở vào trong cụm công nghiệp (CCN) làng nghề Mẫn Xá để khắc phục tình trạng ô nhiễm môi trường hiện nay. Tuy nhiên, công tác này vẫn còn gặp nhiều khó khăn, tình trạng ô nhiễm môi trường ở đây vẫn chưa được cải thiện.
Thôn Mẫn Xá có gần 300 cơ sở kinh doanh phế liệu, buôn bán, cô đúc nhôm. Sau nhiều năm vận động tuyên truyền, hiện, địa phương còn khoảng hơn 150 cơ sở cô đúc nhôm trong thôn (trong đó có 126 cơ sở đang hoạt động) và khoảng 100 cơ sở đã chuyển vào sản xuất tại CCN làng nghề Mẫn Xá. Qua nắm bắt, các cơ sở sản xuất tại địa phương đều đồng tình với chủ trương di dời để hạn chế ô nhiễm môi trường trong khu dân cư. Tuy nhiên, đến nay, việc chuyển hoạt động sản xuất vào CCN của các cơ sở trong thôn vẫn chưa có nhiều chuyển biến.
Ông B.V.L ở xã Văn Môn, huyện Yên Phong, tỉnh Bắc Ninh cho biết, cả xã Văn Môn có 5 thôn, tuy nhiên, chỉ thôn Mẫn Xá là có nghề tái chế. Thôn này ở giữa nên khói bụi, ô nhiễm cả xã phải hứng chịu. Rác thải được đổ vô tội vạ khắp nơi, ùn ứ thành những đống sừng sững như núi bủa vây quanh thôn.
“Đặc biệt trong ngày trời mưa thì cả làng bị mùi thum thủm, hôi thối do hóa chất nhôm bị hòa tan bủa vây. Ngày nắng, gió thổi bụi nhôm mù mịt khắp làng. Trên không trung, khói bụi từ các ống khói lò luyện nhả thẳng lên trời… Cả xã Văn Môn sống nơm nớp trong ô nhiễm. Trung bình mỗi ngày, các lò luyện xử lý, tái chế khoảng 30 tấn nhôm, thải ra khoảng 3 – 4 tấn xỉ thải. Những núi chất thải lưu cữu nhiều năm, ước tính vài trăm ngàn tấn. Dù vậy, vì kinh tế, nhiều người sẵn sàng đánh đổi, bào mòn sức khỏe, làm việc trong môi trường vô cùng độc hại” - ông L bức xúc nói.
VOV.VN - Ông Nguyễn Công Đoàn – Phó Chủ tịch UBND xã Văn Môn (Yên Phong, Bắc Ninh) cho biết: ""Thời gian vừa qua vấn đề ô nhiễm môi trường làng nghề tại xã Văn Môn luôn được các cấp, các ngành quan tâm, tháo gỡ nhưng vẫn chưa có chuyển biến rõ nét, do nạn đổ trộm chất thải công nghiệp ra môi trường vẫn diễn ra thường xuyên""."
2,Kinh tế,"Những ngày này, tại nhiều tuyến đường ở thành phố Đà Nẵng đã có nhiều quầy bày bán bánh Trung thu. Năm nay, các nhãn hàng có nhiều thay đổi về mẫu mã cũng như dòng sản phẩm. Bên cạnh các loại bánh nướng, bánh dẻo truyền thống với nhân thập cẩm, khoai môn, đậu xanh, đậu đỏ… các nhà sản xuất cũng cho ra nhiều sản phẩm bánh chay, bánh sử dụng ít đường, bánh phô mai sen nhuyễn, sữa chua cranberry, khoai lang tím dành cho giới trẻ có giá từ 58.000 đồng đến 69.000 đồng/cái. Nhiều loại bánh đặc biệt của các thương hiệu lớn có giá 500.000 đồng đến gần 2 triệu đồng/hộp. Ngoài mua làm quà biếu, quà tặng, nhu cầu mua bánh Trung thu của người dân dịp này cũng tăng hơn năm ngoái.
“Bánh Trung thu năm nay đa dạng mẫu mã so với mấy năm, giá cả tăng không nhiều so với năm. Tôi mua quà về tặng gia đình và người thân”, ông Phạm Nghĩa, người dân ở đường Nguyễn Hữu Thọ, quận Hải Châu, thành phố Đà Nẵng mua bánh Trung thu chia sẻ.
Anh Đặng Sỹ Khôi, giám sát bán hàng Công ty Cổ phần Hữu Nghị, Chi nhánh Đà Nẵng cho biết, thời điểm này, thị trường người đặt hàng mua bánh Trung thu tăng 30% so với thời điểm năm trước. Nhiều đơn vị, doanh nghiệp đã liên hệ đặt trước bánh Trung thu với số lượng lớn để tặng đối tác, nhân viên trong dịp Tết Trung thu. Theo anh Đặng Sỹ Khôi, năm nay, đơn vị đã phát triển bánh Trung thu có hương vị mới với độ ngọt nhẹ, giảm 20% đường, bảo vệ sức khỏe người dùng. Đơn vị cũng sử dụng các phương pháp đóng gói, bảo quản an toàn với sức khỏe, môi trường như thay thế gói hút ẩm bằng gói oxy, sử dụng túi giấy thay các loại túi nilon và chú trọng vào mẫu mã, thiết kế.
“Thị trường hiện nay so với năm 2023 sôi động hơn rất nhiều, lượng người mua tại quầy cũng như các đơn hàng gia tăng hơn hẳn. Các dòng sản phẩm đặc biệt cao cấp bán rất chạy và có một vài sản phẩm đã “cháy” hàng, không còn hàng để bán. Những dòng bánh cao cấp giá cao hơn. Chúng tôi bán trên đa nền tảng. Về an toàn thực phẩm luôn luôn đảm bảo tất cả từ khâu chế biến và chọn các dòng nguyên liệu và cách bảo quản, tránh ánh nắng trực tiếp, giá cả bình ổn, vấn đề an toàn thực phẩm đảm bảo”, anh Đặng Sỹ Khôi cho biết.
Dịp này, Cục Quản lý thị trường thành phố Đà Nẵng phối với với Ban An toàn thực phẩm tiến hành thanh tra, kiểm tra 157 cơ sở sản xuất, kinh doanh bánh Trung thu; tăng cường kiểm tra và xử lý các vi phạm liên quan hoạt động sản xuất kinh doanh mặt hàng bánh Trung thu.
“Chúng tôi phối hợp với Cục Quản lý thị trường và Công an kinh tế thành phố Đà Nẵng đi kiểm tra nơi họ tiêu thụ, trữ bánh Trung thu lớn, kiểm soát nguồn gốc xuất xứ và chất lượng sản phẩm. Đặc biệt, luôn lấy mẫu giám sát để xem bánh Trung thu có đạt chất lượng an toàn thực phẩm hay không. Các quận huyện cũng triển khai công tác kiểm tra an toàn bánh Trung thu của các cơ sở trực thuộc quận huyện quản lý cũng như xã phường quản lý. Một số bánh Trung thu không rõ nguồn gốc phối hợp cùng Cục Quản lý thị trường và công an kinh tế tiến hành xử lý và tiêu hủy và phạt”, ông Nguyễn Tấn Hải, Trưởng Ban Quản lý An toàn thực phẩm thành phố Đà Nẵng thông tin."
3,Kinh tế,
4,Kinh tế,"Khẳng định phát triển bền vững chuỗi giá trị nông sản là yếu tố cốt lõi trong tái cơ cấu ngành nông nghiệp, các tham luận tập trung thảo luận những giải pháp về nâng cao hiệu quả sản xuất, gia tăng giá trị nông sản, đặc biệt là xây dựng các liên kết chặt chẽ trong toàn bộ chuỗi giá trị từ sản xuất đến tiêu thụ nông sản.
Hiện thực hóa mục tiêu tái cơ cấu nông nghiệp, các đại biểu cho rằng, cần tăng cường ứng dụng công nghệ mới trong cải tiến về giống cây trồng và vật nuôi, tối ưu hóa quy trình sản xuất và mở rộng thị trường tiêu thụ thông qua việc đáp ứng các tiêu chuẩn chất lượng quốc tế. Nhấn mạnh đến tầm quan trọng của việc xây dựng thương hiệu và nâng cao giá trị gia tăng cho nông sản Việt Nam, một số đại biểu đề xuất, cần có sự hỗ trợ mạnh mẽ từ các chính sách của Nhà nước, đồng thời tăng cường đào tạo, nâng cao năng lực cho các hợp tác xã và doanh nghiệp nông nghiệp, coi phát triển bền vững chuỗi giá trị nông sản không chỉ là vấn đề kỹ thuật mà còn là chiến lược lâu dài để bảo đảm sự bền vững cho nền nông nghiệp Việt Nam.
“Liên kết với nông dân đem lại nhiều thuận lợi trong ổn định nguồn nguyên liệu. Tuy nhiên, tiêu thụ sản phẩm vẫn là bài toán lớn không chỉ đối với doanh nghiệp lớn mà còn là thách thức đối với các hợp tác xã quy mô vẫn còn manh mún, nhỏ lẻ hiện nay”, bà Bùi Thị Hải Yến, Giám đốc Hợp tác xã Thương mại và dịch vụ Bản Việt, tỉnh Thái Nguyên chia sẻ.
Nhấn mạnh đến việc phát triển chuỗi giá trị nông sản hiệu quả để nâng cao năng lực cạnh tranh của nông sản Việt Nam trên thị trường quốc tế, bà Cao Xuân Thu Vân, Chủ tịch Liên minh Hợp tác xã Việt Nam cho rằng, trong bối cảnh nông nghiệp Việt Nam đang đối mặt với nhiều thách thức, từ biến đổi khí hậu đến cạnh tranh trên thị trường quốc tế, việc tìm kiếm các giải pháp để phát triển chuỗi giá trị nông sản một cách hiệu quả đã trở thành nhiệm vụ cấp bách. Việc xây dựng mối liên kết chặt chẽ giữa các tác nhân trong chuỗi giá trị từ người nông dân, hợp tác xã đến doanh nghiệp chế biến và xuất khẩu là một trong những giải pháp quan trọng để đạt được mục tiêu này.
“Để phát triển bền vững chuỗi giá trị nông sản trong tái cơ cấu nông nghiệp phải đẩy mạnh phát triển liên kết giữa các hợp tác xã, hợp tác xã với doanh nghiệp, tập đoàn kinh tế, Viện nghiên cứu, chính sách. Các chính sách hỗ trợ thúc đẩy chuỗi giá trị nông sản Việt không thiếu, vấn đề còn lại chính là năng lực, và việc tiếp cận của các tác nhân trong chuỗi”, bà Cao Xuân Thu Vân cho biết.
Theo Thứ trưởng Bộ Nông nghiệp và Phát triển nông thôn Phùng Đức Tiến, tái cơ cấu ngành nông nghiệp nhằm nâng cao hiệu quả và đảm bảo tính bền vững trong chuỗi giá trị nông sản là vấn đề quan trọng đối với tăng trưởng, phát triền bền vững của nền kinh tế, bảo đảm an sinh xã hội và nâng cao đời sống vật chất, tinh thần cho người dân. Trong bối cảnh mới, khi Việt Nam hội nhập ngày càng sâu rộng, nông nghiệp được đánh giá là ngành có nhiều cơ hội nhưng cũng gặp nhiều khó khăn, thách thức. Ngành nông nghiệp sẽ không ngừng phát triển, nâng cao hiệu quả và phát triển bền vững trong chuỗi giá trị nông sản, góp phần xây dựng, nâng tầm nông sản Việt trên thị trường thế giới. Đây không chỉ là nhiệm vụ của riêng ngành nông nghiệp mà cần có sự chung tay góp sức của toàn xã hội, từ các cơ quan Nhà nước, doanh nghiệp, hợp tác xã đến người nông dân."
5,Kinh tế,"Giám đốc Văn phòng Chính sách và Chiến lược Thương mại Thái Lan Poonpong Naiyanapakorn ngày 27/8 cho biết, tăng trưởng xuất khẩu của Thái Lan ghi nhận mức cao nhất trong 28 tháng qua là nhờ sự gia tăng về nhu cầu đối với các sản phẩm điện tử trên toàn cầu phục hồi, sự phát triển của công nghệ số và sự tăng giá của các sản phẩm nông nghiệp chính.
Trong khi đó, các yếu tố kìm hãm tăng trưởng xuất khẩu bao gồm phí vận chuyển cao và sự cạnh tranh của các sản phẩm mới xuất hiện trên thị trường, ví dụ như xe điện.
Phân tích về mức tăng xuất khẩu cho thấy xuất khẩu sản phẩm nông nghiệp trị giá 2,24 tỷ USD, tăng 3,7%; xuất khẩu sản phẩm nông - công nghiệp đạt 2,1 tỷ USD, tăng 14,6% và xuất khẩu sản phẩm công nghiệp thu được hơn 20 tỷ USD, tăng 15,6%. Trong 7 tháng qua, Thái Lan đã xuất khẩu hàng hóa trị giá 171 tỷ USD, tăng 3,8% so với cùng kỳ năm ngoái.
Không tính nhập khẩu nhiên liệu, vàng và các sản phẩm chiến lược, xuất khẩu trong 7 tháng năm 2024 của Thái Lan đã tăng 4,4%, thu về hơn 177 tỷ USD. Thâm hụt thương mại trong giai đoạn này là 6,6 tỷ USD.
Văn phòng Chính sách và Chiến lược Thương mại Thái Lan dự báo, xuất khẩu trong tháng 8 sẽ tiếp tục tăng, tùy thuộc vào giá trị của đồng baht Thái so với đồng USD. Tuy nhiên, ông Poonpong cảnh báo, việc đồng baht Thái tăng giá liên tục trong 20 ngày qua, có thể ảnh hưởng đến xuất khẩu của Thái Lan. Đặc biệt, Bộ Thương mại va khu vực tư nhân cần theo dõi chặt chẽ tình hình do các cuộc xung đột Nga - Ukraine và ở Trung Đông vẫn tiềm ẩn những rủi ro cao."
6,Kinh tế,
7,Kinh tế,"Theo thống kê từ Bộ Nông nghiệp và Phát triển Nông thôn, trong 7 tháng năm 2024, giá trị xuất khẩu gỗ và lâm sản cả nước ước đạt 9,361 tỷ USD, đạt 61,5% kế hoạch năm, tăng 20,5% so với cùng kỳ năm ngoái. Xuất khẩu sang các thị trường lớn của ngành như Hoa Kỳ, EU, Trung Quốc... đạt kết quả khả quan. Trong khi đó, một vài thị trường xuất khẩu lớn khác của ngành gỗ tại châu Á như Nhật Bản, Hàn Quốc có dấu hiệu giảm nhẹ.
Mặc dù đã có sự phục hồi và tăng trưởng trở lại nhưng trị giá xuất khẩu gỗ, sản phẩm gỗ và đồ nội thất Việt Nam vẫn chưa đạt mức cùng kỳ năm 2022 là 11,5 tỷ USD.
Ông Trần Ngọc Liêm, Giám đốc Liên đoàn Thương mại và Công nghiệp Việt Nam – Chi nhánh khu vực TPHCM đánh giá, các doanh nghiệp xuất khẩu đồ gỗ vẫn đang gặp nhiều khó khăn, thách thức do tình hình kinh tế, chính trị thế giới bất ổn, chính sách bảo hộ tại các thị trường lớn, chi phí giao nhận hàng hóa, giá dịch vụ ảnh hưởng lớn đến giá thành sản phẩm, cạnh tranh hàng hóa....
Cùng với đó, nhiều thị trường quản lý chặt chẽ hơn về chất lượng sản phẩm, tiêu chuẩn lao động, môi trường, nguồn gốc xuất xứ…, đặt ra nhiều vấn đề thách thức đối với các doanh nghiệp xuất khẩu. Bởi vậy, doanh nghiệp cần chủ động hoàn thiện chất lượng sản phẩm, đáp ứng các chứng chỉ quốc tế cần thiết, mở rộng tìm kiếm các thị trường phi truyền thống, đa dạng hóa thị trường đầu ra của sản phẩm.
Ông Phạm Xuân Hòa - CEO Công ty An Hòa Phát cho biết, trong 8 tháng qua, tình hình xuất nhập khẩu các sản phẩm đồ gỗ của công ty sang các thị trường truyền thống như Mỹ và Châu Âu tăng trưởng chậm (chỉ đạt 60% kế hoạch đề ra). Tới nay, các đơn hàng tuy đã có sự dịch chuyển tốt hơn nhưng vẫn không bằng các năm trước đó.  Mặc dù thị trường xuất khẩu sang Trung Quốc đã mở rộng hơn nhưng vẫn còn nhiều lo ngại.
Theo ông Hòa, có nhiều lý do dẫn đến xuất khẩu chậm tăng trưởng nhưng vấn đề nan giải nhất vẫn là chi phí logistic quá cao dẫn đến tồn kho tại các nhà máy: ""Chi phí logistic tăng cao kéo theo nguyên vật liệu nhập về tăng. Giá nguyên vật liệu tăng trong khi khách hàng muốn giảm giá bán dẫn đến các doanh nghiệp phải tiết kiệm chi phí để giảm tiêu hao nguyên liệu, giảm chi phí nhân công để có giá thành tương đối ổn định"".
Ông Nguyễn Văn Dũng - Phó Chủ tịch UBND TP. HCM cho biết, Hội chợ quốc tế đồ gỗ và mỹ nghệ xuất khẩu và Hội chợ Tôn vinh Hàng Việt năm 2024 nhằm tạo điều kiện cho các doanh nghiệp giao lưu, tìm kiếm đối tác, mở rộng khách hàng, quảng bá thương hiệu sản phẩm. Các đơn vị sẽ được tiếp cận nắm bắt nhu cầu, xu hướng hàng hóa trên thế giới để tiếp tục đổi mới sáng tạo, phát triển sản phẩm, đẩy mạnh nhu cầu tiêu dùng trong nước và xuất khẩu ra thế giới.
Hội chợ quốc tế đồ gỗ - mỹ nghệ xuất khẩu Việt Nam ASEAN lần thứ 2 - VIFA ASEAN 2024 tại TP.HCM diễn ra song song với Hội chợ Triển lãm Tôn vinh hàng Việt  lần thứ 15 , diễn ra từ ngày 27-30/8 tại Trung tâm Hội chợ và Triển lãm Sài Gòn (SECC), Quận 7.
Hội chợ quy tụ hơn 600 gian hàng đến từ 200 doanh nghiệp trong nước và quốc tế như: Trung Quốc, Hàn Quốc, Đài Loan, Thái Lan… tham gia trưng bày các sản phẩm và dịch vụ từ các ngành hàng như: nội ngoại thất, đồ trang trí nhà cửa, máy móc thiết bị, công cụ, dịch vụ hỗ trợ…."
8,Kinh tế,"Thông tin từ Cục Thuế thành phố Cần Thơ, theo Quyết định giám đốc thẩm của Hội đồng thẩm phán Tòa án nhân dân tối cao, ngày 13/6/2024 Tòa án nhân dân cấp cao tại Thành phố Hồ Chí Minh đã tiến hành xét xử phúc thẩm lại và tuyên bác toàn bộ yêu cầu khởi kiện của Công ty Cổ phần 720 (Công ty 720) về các quyết định liên quan đến tiền thuê đất đã được Cục Thuế thành phố Cần Thơ ban hành theo đúng quy định pháp luật.
Theo nội dung vụ án, trước ngày 01/01/2006 Công ty 720 được UBND thành phố Cần Thơ cho thuê đất theo Quyết định số 1650/QĐ-UB ngày 18/5/2005 và Hợp đồng thuê đất số 195/HĐTĐ ngày 08/9/2005. Do đất thuê của Công ty 720 trước ngày 01/01/2006 và trả tiền thuê đất hằng năm, đồng thời việc thuê đất không ghi nguyên tắc điều chỉnh đơn giá thuê đất, nên theo Nghị định số 142/NĐ-CP ngày 114/11/2005 (đã được sửa đổi, bổ sung tại Nghị định số 121/2010/NĐ-CP ngày 30/12/2010) của Chính phủ về thu tiền thuê đất, thì tiền thuê đất của Công ty 720 thuộc diện phải điều chỉnh lại từ ngày 01/01/2006 trở đi. Căn cứ Nghị định 142, Cục Thuế thành phố Cần Thơ đã xác định lại và ban hành thông báo tiền thuê đất phải nộp đối với Công ty 720 theo đúng nguyên tắc điều chỉnh đơn giá cho thuê đất tại Nghị định 142, Nghị định 121.
Không đồng ý với các quyết định về tiền thuế đất điều chỉnh, năm 2016 và 2017 Công  ty 720 đã khởi kiện các quyết định hành chính của Cục Thuế thành phố Cần Thơ. Tại hai cấp xét xử, sơ thẩm (Toà án nhân dân thành phố Cần Thơ), phúc thẩm (Tòa án nhân dân cấp cao tại Thành phố Hồ Chí Minh), Tòa án đã tuyên chấp nhận các yêu cầu khởi kiện của Công ty 720.
Không thống nhất với phán quyết của Tòa án, Cục Thuế thành phố Cần Thơ đã có văn bản đề nghị xem xét theo thủ tục giám đốc thẩm. Ngày 19/12/2023, Hội đồng thẩm phán Tòa án nhân dân tối cao đã có quyết định giám đốc thẩm, theo đó đã quyết định hủy bản án phúc thẩm và giao Tòa án nhân dân cấp cao tại Thành phố Hồ Chí Minh xét xử lại vụ án.
Tại phiên tòa phúc thẩm vào ngày 13/6/2024, Tòa án nhân cấp cao tại Thành phố Hồ Chí Minh tuyên chấp nhận kháng cáo của Cục Thuế thành phố Cần Thơ và bác toàn bộ yêu cầu khởi kiện về tiền thuê đất của Công ty 720.
Theo phán quyết của Tòa án nhân cấp cao tại Thành phố Hồ Chí Minh, Cục Thuế Cần Thơ sẽ tiến hành các thủ tục để thu hồi hơn 25 tỷ đồng tiền nợ thuế, tiền phạt và tiền chậm nộp của Công ty 720 vào Ngân sách nhà nước."
9,Kinh tế,"Dự án đường kết nối từ Trung tâm thị xã An Nhơn đến đường ven biển phía Tây đầm Thị Nại dài hơn 9,3 km với tổng mức đầu tư 1.000 tỷ đồng. Hiện nay, những đoạn không xử lý nền đất yếu từ km0 đến km7 đang tiến hành thảm bê tông nhựa mặt đường. Những đoạn xử lý nền đất yếu từ km7 đến km9 + 391 đang tiến hành dỡ tải một số đoạn đủ điều kiện và thi công, gia cố mái taluy, đường gom dân sinh; đang triển khai thi công hệ thống an toàn giao thông. Giá trị xây lắp thực hiện đường kết nối từ Trung tâm thị xã An Nhơn đến đường ven biển phía Tây đầm Thị Nại đến nay đạt hơn 76%.
Dự án đường tránh phía Nam thị trấn Phú Phong, huyện Tây Sơn, tỉnh Bình Định dài 18km, bề rộng nền đường 12m, trên tuyến đầu tư xây dựng 6 cầu, có tổng mức đầu tư gần 800 tỷ đồng. Dự án được khởi công vào tháng 8/2022 và dự kiến hoàn thành quý I năm 2025. Đến nay, UBND huyện Tây Sơn đã cơ bản bàn giao mặt bằng. Tuy nhiên, trên tuyến còn 6 vị trí còn vướng hạ tầng kỹ thuật điện, nước, cáp quang.
Ban Quản lý dự án giao thông tỉnh Bình Định đang tích cực phối hợp với UBND huyện Tây Sơn sớm giải quyết dứt điểm các vị trí còn vướng giải phóng mặt bằng, phấn đấu hoàn thành trong tháng 9/2024. Nhà thầu đang thi công đắp nền đường toàn tuyến, đồng loạt thi công lớp móng cấp phối đá dăm và các công trình thoát nước, hệ thống điện chiếu sáng. Giá trị xây lắp dự án đường tránh phía Nam thị trấn Phú Phong thực hiện đến nay đạt 52,3%.
Tại buổi kiểm tra, chủ đầu tư và các nhà thầu cam kết quyết tâm đưa vào khánh thành 3 tuyến đường đúng dịp kỷ niệm 50 năm ngày Giải phóng tỉnh Bình Định (31/3/1975 – 31/3/2025). Đó là, Đường tránh phía Nam thị trấn Phú Phong; Đường kết nối từ Quốc lộ 19 đến Khu Công nghiệp - Đô thị và Dịch vụ Becamex VSIP Bình Định; Đường kết nối từ Trung tâm thị xã An Nhơn đến đường ven biển phía Tây đầm Thị Nại.
Qua kiểm tra thực tế, ông Hồ Quốc Dũng, Bí thư Tỉnh ủy Bình Định đánh giá cao nỗ lực của chủ đầu tư, nhà thầu và các địa phương trong việc giải phóng mặt bằng, đẩy nhanh tiến độ thi công các dự án. Về việc nền đất yếu của đường ven biển đoạn Cát Tiến - Diêm Vân nối đường Điện Biên Phủ (thành phố Quy Nhơn), Bí thư Tỉnh ủy Bình Định đồng ý để dự án này tiếp tục chờ lún, khi nào đảm bảo điều kiện mới hoàn thành, tổ chức khánh thành.
Ông Hồ Quốc Dũng, Bí thư Tỉnh ủy Bình Định yêu cầu chủ đầu tư và nhà thầu cần tập trung đẩy nhanh tiến độ dự án trước mùa mưa.
“Hiện nay, tiến độ giải ngân vốn đầu tư công của tỉnh Bình Định thuộc tốp đầu của cả nước nhưng mà lo nhất tới đây là mùa mưa. Cho nên qua lần kiểm tra này, lãnh đạo tỉnh đã yêu cầu chủ đầu tư, nhà thầu đẩy nhanh tiến độ; tăng tốc trong thời gian mùa nắng, đối với mùa mưa thì hạn chế, thi công trong mùa mưa sẽ ảnh hưởng đến chất lượng công trình, những tháng còn lại của mùa nắng này thì chúng ta phải đẩy nhanh tiến độ công trình, nhất là việc đắp đất nền đường. Đối với một số công trình có thể làm trong mùa mưa”, ông Hồ Quốc Dũng yêu cầu."
10,Kinh tế,"
Phát biểu tại hội thảo, ông Nguyễn Ngọc Hòa, Chủ tịch Hiệp hội doanh nghiệp TP.HCM (HuBa) cho rằng, hiện nay các động lực tăng trưởng kinh tế của TP đang bị xói mòn. Vì vậy, để tạo động lực tăng trưởng mới cho kinh tế TP, doanh nghiệp phải chuyển đổi sản xuất theo hướng ứng dụng công nghệ xây nhà máy thông minh để tăng giá trị sản xuất.
Phó Giáo sư, Tiến sĩ Thoại Nam - Trường Đại học Bách Khoa TP.HCM cho rằng, xây dựng nhà máy thông minh là xu hướng phát triển hiện nay. Trong đó, việc sử dụng AI trong nhà máy thông minh là không thể thiếu, thực tế mô hình này đã tối ưu hóa sản xuất, tăng cao năng suất, hiệu quả hoạt động của doanh nghiệp. Tuy nhiên, đối với doanh nghiệp nhỏ và vừa, việc chuyển đổi sản xuất theo mô hình này là bài toán khó, vì doanh nghiệp thiếu dữ liệu, nhân lực thiếu kỹ năng về công nghệ và hạn chế về nguồn lực tài chính...
Đối với những rào cản này, theo Phó Giáo sư, Tiến sĩ Thoại Nam, doanh nghiệp nhỏ và vừa của Việt Nam có thể tham khảo kinh nghiệm của Hàn Quốc với giải pháp nhà máy thông minh phù hợp. Theo đó, có thể tập trung chọn công nghệ nào có giá thành phù hợp, đơn giản, dễ cài đặt, dễ vận hành, dễ bảo trì và tương thích với thiết bị của nhà máy. Đồng thời, doanh nghiệp có thể thay đổi được những mô-đun trong nhà máy. Tuy nhiên, quá trình chuyển đổi này, doanh nghiệp cần sự hỗ trợ về cơ chế, chính sách của Nhà nước.
Phó Giáo sư, Tiến sĩ Nam kiến nghị, chúng ta làm sao chúng ta lan tỏa tinh thần về nhà máy thông minh cho doanh nghiệp nhỏ và vừa. Chúng ta tổ chức triển lãm, khảo sát, chia sẻ những bài học thành công về nhà máy thông minh, nên có những tiêu chuẩn và chứng nhận thế nào là nhà máy thông minh, chuẩn của Việt Nam thế nào?  Về nghiên cứu và phát triển, chúng ta phải có những giải pháp về phát triển nhà máy thông minh hỗ trợ cho doanh nghiệp. Điều này rất quan trọng, chúng ta phải triển khai được những nhà máy thông minh tiêu biểu để doanh nghiệp nhìn thấy và học."
