STT,Category,Content
1,Ô tô - Xe máy,"Yamaha Malaysia đã công bố các tùy chọn màu mới cho mẫu xe underbone EZ115 2024 của mình bao gồm: Xanh lam, Xám và Tím. Giá bán lẻ khuyến nghị cho phiên bản năm 2024 vẫn được giữ nguyên so với năm ngoái ở mức 5.698 RM (30,8 triệu đồng). Khi mua Yamaha EZ115, khách hàng sẽ được bảo hành hai năm hoặc 20.000 km và được tặng khóa đĩa an toàn của Yamaha trị giá 100 RM (540.000 đồng).
Yamaha EZ115 2024 tiếp tục sở hữu sức mạnh đến từ động cơ SOHC xi-lanh đơn 114cc, làm mát bằng gió, đạt chuẩn EURO-4, hộp số 4 cấp, hệ dẫn động cầu sau. Các trang bị này đem lại ông suất 9,92 mã lực tại 7.750 vòng/phút và mô-men xoắn 9,9 Nm tại 6.500 vòng/phút.
Hệ thống phanh của chiếc xe được chế tạo với đĩa thủy lực đơn phía trước và phanh tang trống cơ học ở phía sau trong khi hệ thống treo sử dụng phuộc ống lồng và giảm xóc đôi có thể điều chỉnh để giữ tải trước cho phần đuôi xe.
Một số trang bị khác của Yamaha EZ115 2024 bao gồm đèn pha halogen, bảng đồng hồ analog hiển thị tốc độ, nhiên liệu và vị trí hộp số cùng đồng hồ đo đường, bình xăng gần 4 lít, cốp chứa đồ đủ chỗ cho một chiếc mũ bảo hiểm nửa đầu. Kích thước bánh xe trên EZ115 là 17 inch, lốp 70/90 phía trước và cao su 80/90 phía sau. Được biết, Yamaha EZ115 nặng khoảng 98 kg với chiều cao yên 775 mm."
2,Ô tô - Xe máy,"Khác với phần thân vỏ hay khoang nội thất, khoang máy ô tô là khu vực ít được vệ sinh hơn, nhất là sau những lần rửa xe thông thường. Tuy nhiên khoang máy cũng thường xuyên phải hứng chịu bụi bẩn và thậm chí là cả dầu mỡ hay rác bẩn tích tụ lâu ngày, làm tăng nhiệt độ vận hành, gây lão hóa và làm giảm tuổi thọ linh kiện.
Tuy nhiên thay vì phải chi một khoản tiền không nhỏ cho dịch vụ vệ sinh khoang máy, bạn hoàn toàn có thể tự vệ sinh tại nhà thường xuyên để động cơ và các chi tiết dưới nắp ca-pô luôn sạch sẽ, bền bỉ. Trước khi bắt tay vào việc, hãy chuẩn bị các dụng cụ sau:
- Bộ dụng cụ (cờ lê, tua-vít, khóa, lục... các kích cỡ);
- Máy hút bụi, chổi cọ, túi ni-lông cỡ lớn;
- Vòi xịt nước (có thể sử dụng vòi tưới cây);
- Một bình xịt pha sẵn dung dịch nước xà phòng loãng;
- Hóa chất tạo bóng, miếng bọt biển (có thể dùng miếng bọt rửa bát);
- Khăn mềm, tốt nhất là vật liệu cotton hoặc khăn vi sợi; khăn giấy hoặc khăn ướt.
Và bây giờ hãy bắt đầu theo quy trình lần lượt như sau:
Đầu tiên, nên đỗ xe ở nơi khô ráo, thoáng mát và bằng phẳng. Nhớ kéo phanh tay, sau đó mở nắp ca-pô. Hãy chắc chắn là cột chống nắp ca-pô đã được khóa đúng vị trí trước khi bắt tay vào công việc chính.
Tốt nhất nên tiến hành vệ sinh sau khi tắt máy 1-2 tiếng để động cơ xe nguội hoặc chỉ còn hơi ấm nhẹ. Việc đổ nước lạnh vào bề mặt động cơ khi đang nóng có thể lập tức gây giãn nở không đều, dẫn đến rạn nứt, lão hóa và hỏng hóc các chi tiết kim loại, nhựa hay cao su.
Đầu tiên, hãy dùng dụng cụ (cờ lê) để tháo ác-quy theo thứ tự rút cọc âm trước, cọc dương sau (khi lắp thì tuân theo trình tự ngược lại: cọc dương trước cọc âm sau). Việc này để tránh nước hay các loại dung dịch có thể gây ra chập mạch, ảnh hưởng đến hệ thống điện tử trên xe, đồng thời cũng tăng thêm không gian để ta thực hiện các thao tác vệ sinh xe được tiện lợi hơn.
Tiếp theo, sử dụng máy hút bụi kết hợp với chổi cọ để loại bỏ những vết bụi bẩn lớn, các loại rác như lá cây, cặn bùn hay thậm chí là cả xác động vật. Tập trung vệ sinh kỹ các khu vực như: vách ngăn giữa khoang máy và cabin, máng che lấy gió (trong cùng và trên cùng khoang máy, chỗ kết nối 2 cần gạt mưa), các khu vực giắc kết nối dây điện, cuộn đề đánh lửa, các đường ống cao su và đặc biệt là những chỗ tiếp giáp với động cơ...
Tiếp đến, hãy lấy túi nilon và bọc kín xung quanh động cơ. Việc này giúp hạn chế nhất việc nước hay dung dịch vệ sinh có thể lọt vào các chi tiết điện tử hay trong động cơ. Sau đó, bạn có thể sử dụng bình xịt xà phòng loãng cùng với bàn chải hoặc giẻ để bắt đầu vệ sinh theo thứ tự từ trên xuống dưới, bắt đầu là nắp ca-pô.
Trong khi vệ sinh, tránh xịt nước có áp lực mạnh lên bề mặt, bởi trên các mẫu xe hiện đại, nhà sản xuất thường trang bị những tấm mút nỉ, bông hoặc cao su để giảm ồn hoặc chống cháy. Các chất liệu này thường có đặc tính mềm và dễ bị biến dạng hoặc rách. Sau khi đã vệ sinh hết một lượt bằng xà phòng, hãy xả lại một lượt bằng nước sạch trước khi bước sang phần tiếp theo.
Sau khi các phần phụ bên trong khoang máy đã sạch sẽ, chúng ta sẽ bước sang phần vệ sinh chính động cơ. Trước tiên, hãy tháo nắp che động cơ (nếu có). Sau đó bắt đầu sử dụng khăn giấy hoặc khăn ướt để lau hết xung quanh bề mặt máy, nhằm loại bỏ hết các vết cặn bẩn.
Nếu khoang máy có quá nhiều ngóc ngách phức tạp, hãy cuốn khăn vào đầu gậy hoặc bàn chải dài để dễ thao tác. Tiếp đến, sử dụng dung dịch làm sạch để xịt lên bề mặt kim loại, nhằm loại bỏ những vết dầu mỡ đọng cứng đầu. Sau đó lau lại một lần nữa bằng giẻ mềm hoặc khăn vi sợi.
Nên làm sạch lần lượt theo từng khu vực, như vậy bạn có thể chú ý vệ sinh kỹ càng từng ngóc ngách nhỏ, nhất là những chỗ tiếp giáp, xung quanh mỗi con ốc hay các giắc cắm. Nên thay mới khăn giấy hoặc khăn ướt liên tục để đạt hiệu quả vệ sinh cao nhất.
Sau khi đã vệ sinh sạch sẽ các vết bẩn, chúng ta có thể tiến hành bước cuối cùng, đó là bảo dưỡng để khoang máy giữ được vệ sinh và tuổi thọ dài lâu. Đây là lúc các loại hóa chất chuyên dụng vào cuộc và phát huy tác dụng.
Hãy sử dụng các loại xi, kem đánh bóng không có tính chất ăn mòn. Thậm chí có thể dùng các loại hóa chất riêng biệt cho từng loại vật liệu: kim loại, cao su, nhựa... Một vài thương hiệu cung cấp các loại hóa chất và giải pháp chăm sóc xe hơi uy tín toàn thế giới có thể tham khảo bao gồm: 3M hay Meguiar...
Chú ý, nên đổ một lượng nhỏ ra bát, đeo găng tay và chấm bọt biển vào rồi thử một chút lên bề mặt xem có gây ra phản ứng xấu nào không trước khi lau bảo dưỡng cho toàn bộ các chi tiết, tránh hiện tượng ăn mòn. Đặc biệt tránh bôi lên các dây đai, khiến bộ phận này bị trơn, giảm ma sát. Đợi 5 - 10 phút cho hóa chất ngấm, rồi lau lại một lượt bằng giẻ khô mềm.
Cuối cùng, chúng ta có thể lắp lại ác-quy (nhớ thực hiện theo đúng trình tự cực dương trước, cực âm sau). Theo các chuyên gia, chúng ta có thể vệ sinh khoang máy trung bình từ 1 - 2 năm một lần để giữ tuổi thọ hệ thống được lâu dài nhất."
3,Ô tô - Xe máy,"Toyota đang hướng tới một tương lai trung hòa carbon tại thị trường Úc qua việc từng bước loại bỏ các phiên bản “thuần xăng” không hybrid của các mẫu xe. Điều này đồng nghĩa với việc trong tương lai, công ty sẽ sớm ngừng phân phối các biến thể chỉ chạy xăng.
Toyota Australia loại bỏ các tùy chọn hệ truyền động chỉ có ICE khỏi các dòng xe Corolla sedan, Camry sedan, Corolla Cross, RAV4 và Kluger SUV. Những mẫu xe này hiện đã được bán ở dạng hybrid bên cạnh các mẫu xe lai xăng điện khác như Yaris hatchback, Yaris Cross, Corolla hatchback và crossover C-HR.

Đáng chú ý, Toyota Prius là một trong những mẫu xe hybrid đầu tiên của hãng, mặc dù dòng xe đã bị ngừng bán tại thị trường Úc một thời gian nhưng dự kiến sẽ sớm quay trở lại đất nước này một lần nữa. Tuy nhiên, Toyota vẫn có ngoại lệ cho dòng Gazoo Racing tập trung vào hiệu suất. Trong đó, các mẫu xe hiệu suất cao bao gồm GR Yaris, GR Corolla, GR 86 và GR Supra sẽ không điện khí hóa, ít nhất là trong tương lai gần.
Hãng xe Nhật Bản tiết lộ rằng kế hoạch kinh doanh này xuất phát từ nhu cầu mạnh mẽ của khách hàng đối với những sản phẩm thân thiện với môi trường. Hãng tin rằng HEV sẽ là hệ  truyền động được lựa chọn chủ yếu cho hầu hết các xe du lịch và SUV; vì thế mà Toyota đã quyết định thực hiện kế hoạch dù nó ảnh hưởng đến doanh số bán hàng của các mẫu xe chỉ chạy xăng. Tập đoàn dự đoán xe điện hybrid (HEV) và xe điện chạy pin (BEV) sẽ chiếm hơn một nửa doanh số bán hàng tại Úc vào năm 2025.
Được biết, trong một tuyên bố chung gần đây giữa ba nhà sản xuất ô tô đến từ Nhật Bản bao gồm Toyota, Subaru và Mazda, Toyota đã khẳng định sẽ nỗ lực nghiên cứu hệ truyền động xăng mới có thể tương thích với điện khí hóa và nhiên liệu thay thế để hạn chế ảnh hưởng của các sản phẩm phát thải ra môi trường."
4,Ô tô - Xe máy,"Một chiếc Bugatti Veyron Grand Sport Vitesse 2014 với các tùy chọn trị giá hơn 408.000 USD (10 tỷ đồng) sẽ được RM Sotheby's bán đấu giá vào tuần tới. Chiếc siêu xe của thương hiệu Pháp dự kiến ​​sẽ được chốt giá từ 2,55 đến 3,2 triệu USD (65 - 81 tỷ đồng).
Bugatti chỉ từng sản xuất 92 chiếc Grand Sport Vitesse và nguyên mẫu dưới đây là chiếc thứ 46. Người ta cho rằng ban đầu nó được sản xuất để gửi đến Nhật Bản nhưng đơn đặt hàng không thành công và nó được chuyển đến chủ mới ở London, Anh.
Mặc dù mỗi chiếc Veyron Grand Sport Vitesse đều đặc biệt nhưng chiếc siêu xe này còn gân ấn tượng hơn cả với vẻ ngoài cực bóng bẩy. Diện mạo mẫu xe được hoàn thiện bằng việc kết hợp giữa sợi carbon màu xanh và đen. Lớp hoàn thiện bằng sợi carbon này là một phần của gói độ trị giá 375.500 Euro (10 tỷ đồng) bao gồm kẹp phanh màu xanh lam, vỏ động cơ sơn tĩnh điện, các bộ phận magie được phủ nano màu đen và ghế bọc vải.
Nội thất Bugatti Veyron Grand Sport Vitesse 2014 cũng rất nổi bật. Ghế ngồi, bảng điều khiển phía dưới, tấm cửa và trần xe được bọc da màu cam trong khi tựa đầu thêu nổi dòng chữ “Vitesse”, bảng điều khiển trung tâm được trang trí bằng sợi carbon và vải Alcantara trên vô lăng là những chi tiết đáng chú ý khác.
Công ty đấu giá xe RM Sotheby's cho biết chiếc xe đã được người chủ hiện tại mua lại vào năm 2017 và được trang bị hệ thống ống xả titan QuickSilver và chiếc xe vừa được bảo dưỡng ~34.000 USD (864 triệu đồng) vào tháng Tư vừa qua.
Giống như tất cả các mẫu Veyron Grand Sport Vitesse khác, nguyên mẫu sắp được đấu giá này đi kèm động cơ W16 tăng áp kép, dung tích 8,0 lít, sản sinh công suất 1.183 mã lực và mô-men xoắn cực đại 1.500 Nm. Vào năm 2013, chiếc Veyron mui trần cuối cùng đã đạt tốc độ tối đa 408,7 km/h tại cơ sở thử nghiệm Ehra Lessien, lập kỷ lục tốc độ tối đa mới cho xe mui trần thương mại. Được biết, chiếc Bugatti này mới chỉ chạy được 4.085 km."
5,Ô tô - Xe máy,"Mẫu xe máy địa hình nhỏ gọn Aveta Ranger Cub Cross 2024 phiên bản tiêu chuẩn sẽ được phân phối tại Malaysia với mức giá 4.988 RM (27 triệu đồng) trong khi phiên bản “SE” cao cấp hơn có giá bán lẻ 5.188 RM (28 triệu đồng) chưa bao gồm thuế, bảo hiểm và đăng ký. Mỗi chiếc Ranger Cub Cross đều được bảo hành hai năm hoặc 20.000 km đối với các lỗi sản xuất.

Aveta Ranger Cub Cross 2024 có kiểu dáng tương tự như ""người anh em"" xe địa hình Ranger Max Explorer nhưng sở hữu các tấm thân xe sinh động hơn, tấm chắn bùn phía dưới và đèn tích hợp trên tay trái cũng là những chi tiết để phân biệt các mẫu xe.
Cub Cross mang động cơ xi-lanh đơn làm mát bằng không khí, dung tích 113cc và được cung cấp năng lượng bằng bộ chế hòa khí. Công suất được đánh giá ở mức 8,7 mã lực tại 8.000 vòng/phút và mô-men xoắn cực đại 9,0 Nm tại 5.500 vòng/phút.
Tất cả những thông tin cần thiết mà người lái cần đều được hiển thị trên màn hình LCD. Chiếc xe không có cốp mà chỉ có một hộc đựng đồ nhỏ bên dưới tay lái. Phía dưới yên xe là bình xăng 3,5 lít. Hệ thống treo đi kèm đĩa thủy lực đơn ở bánh trước và phanh tang trống cơ khí ở phía sau. Hệ thống treo sử dụng phuộc ống lồng phía trước cùng giảm xóc đôi có thể điều chỉnh tải trước ở phía sau.

Điểm khác biệt của Ranger Cub Cross thông thường với phiên bản SE là loại mâm được trang bị, mẫu tiêu chuẩn được trang bị mâm hợp kim đúc trong khi SE sở hữu mâm nan hoa. Cả hai biến thể đều sẽ được chế tạo với các bánh xe 17 inch. Một số trang bị đáng chú ý khác của mẫu xe địa hình bao gồm kính chắn gió, bộ phận bảo vệ tay, giá để đồ phía sau, ghế chia đôi, tay vịn phía sau và chân chống trung tâm."
6,Ô tô - Xe máy,"Lamborghini Urus SE hiện đã ra mắt thị trường Malaysia. Đây là lần đầu tiên dòng xe sở hữu hệ truyền động plug-in hybrid sau 6 năm kể từ khi siêu SUV của hãng siêu xe Ý xuất hiện tại xứ sở dầu cọ. Urus SE sẽ có giá từ 1.028.000 RM (5,5 tỷ đồng) trước thuế tại Malaysia.
Động cơ đốt trong mạnh mẽ tiếp tục là điểm nhất của Urus ở dạng SE này, trong đó động cơ xăng V8 tăng áp kép 4.0 lít của hãng sản sinh công suất 620 mã lực và mô-men xoắn 800 Nm; con số này ít hơn so với 657 mã lực/850 Nm của Urus S và Urus Performanceante.
Ngoài ra, xe còn được trang bị một một động cơ điện có công suất 192 mã lực và mô-men xoắn 483 Nm, cho công suất tổng hợp 800 mã lực và mô-men xoắn 950 Nm. Với trang bị này giúp Urus SE plug-in hybrid tăng tốc từ 0-100 km/h trong 3,4 giây (nhanh hơn 0,1 giây so với Urus S) và đạt tốc độ tối đa 312 km/h (nhiều hơn 7 km/h so với mức tối đa của Urus S).
Động cơ điện tử trong Urus SE là một bộ phận đồng bộ nam châm vĩnh cửu nằm trong hộp số tự động 8 cấp, được cấp nguồn từ pin lithium-ion 25,9 kWh đặt giữa sàn cốp và bộ vi sai hạn chế trượt điện tử phía sau; dẫn động cả bốn bánh.
Ngoài ra, Lamborghini Urus SE còn sở hữu hệ thống treo khí nén có thể điều chỉnh theo chiều cao và độ cứng của xe như một phần của các chế độ lái có sẵn bao gồm: Corsa, Strada, Sport và Neve. Trong khi đó, chế độ truyền động hybrid đi kèm các tùy chọn bao gồm: Hybrid, Recharge và EV Drive. Được biết, hệ thống sau cho phép động cơ điện thuần túy chạy quãng đường lên tới 60 km.
Urus điện khí hóa có thể được phân biệt với các phiên bản động cơ đốt trong thuần túy trước đó bằng một loạt các dấu hiệu về kiểu dáng. Đèn chiếu sáng ban ngày giờ đây bao quanh cụm đèn pha thay vì sử dụng kiểu bố trí thiết kế chữ Y như trước đây. Cản trước và cản sau cũng được thiết kế lại, mặc dù hình dáng tổng thể và vòm bánh xe vẫn được giữ nguyên. Thân xe được tinh chỉnh lại đã cải thiện khả năng làm mát phanh lên 30%.
Lamborghini Urus SE cũng có nhiều cải tiến khí động học hơn bao gồm lỗ thông hơi dưới gầm xe và ống dẫn khí được tân trang lại để làm mát các bộ phận cơ khí và động cơ tốt hơn 15%. Chưa dừng lại ở đó, cửa sau của chiếc xe giờ đây có cánh lướt gió hoạt động về mặt khí động học với bộ khuếch tán phía sau được sửa đổi để tạo ra lực xuống cao hơn 35% so với Urus S.
Bên trong nội thất, Urus SE có một cặp màn hình 12,3 inch. Như mọi khi, khách hàng sẽ được tùy chọn một số bộ phận khác của Lamborghini Urus SE. Chẳng hạn, người mua có thể lựa chọn kích thước bánh xe từ 21 đến 23 inch, trong đó kích thước bánh xe của mẫu xe trưng bày là 23 inch."
7,Ô tô - Xe máy,"Hyundai Accent vừa được ra mắt mới đây, gây ấn tượng mạnh với người tiêu dùng bởi thiết kế, kích thước, bổ sung loạt trang bị, nâng cấp động cơ và đặc biệt là mức giá rất cạnh tranh. Tận dùng làn sóng của mẫu sedan Hàn Quốc, liên doanh Thành Công tiếp tục lên kế hoạch tung ra bản nâng cấp facelift dành cho mẫu xe đàn em hạng A Hyundai Grand i10 dự kiến ngay trong tháng 6 này.
Xe sẽ tiếp tục xuất hiện với hai biến thể sedan và hatchback giống các thế hệ trước đây. Thiết kế đầu và đuôi xe được cập nhật nhẹ với mặt ca-lăng cũng như hệ thống đèn demi phía trước và đèn báo phanh hậu.
Do chỉ là bản cập nhật facelift, nên Hyundai Grand i10 vẫn sẽ tiếp tục sở hữu khối động cơ 1.2L hút khí tự nhiên, với công suất 82 mã lực và 114 Nm mô-men xoắn. Trang bị phía trong xe bao gồm: phanh cơ, điều hoà cơ, ghế da pha nỉ, màn hình giải trí có tích hợp Apple CarPlay và Android Auto, cổng sạc USB và type C, cũng như cửa gió cho hàng ghế sau.
Bên cạnh bộ đôi Accent và Grand i10, hiện nay thương hiệu Hàn Quốc cũng đang có kế hoạch mang về nước mẫu crossover ăn khách Hyundai Santa Fe phiên bản mới.
Là phiên bản cập nhật hoàn toàn mới, mẫu gầm cao cỡ D nhà Hyundai sẽ được thay đổi diện mạo hoàn toàn, chuyển sang phong cách việt dã vuông vức khoẻ khoắn và vẫn giữ nét thiết kế hiện đại trẻ trung.
Trên phiên bản mới, Hyundai Santa Fe 2024 sẽ được gia tăng kích thước, bổ sung hàng loạt trang bị tiện ích mà nổi bật nhất là khoang nội thất hiện đại với 3 màn hình phía trước, hai sạc không dây, cần số thiết kế bắt mắt đặt phía sau vô-lăng tương tự mẫu xe điện Ioniq 5.
Về hệ thống động lực, Santa Fe mới sẽ được bán ra kèm máy xăng 2.5L có công suất 194 mã lực và 246 Nm mô-men xoắn hoặc tuỳ chọn động cơ tăng áp 2.5L với sức mạnh lên tới 281 mã lực và 422 Nm mô-men và hệ dẫn động hai cầu.
Bên cạnh đó, mẫu gầm cao Hàn Quốc cũng sẽ được trang bị hệ thống hỗ trợ lái chủ động SmartSense cũng như các tính năng an toàn công nghệ tiên tiến nhất hiện nay, hứa hẹn trở thành đối thủ đáng gờm của Ford Everest - mẫu SUV bán chạy nhất phân khúc hiện nay.
Thương hiệu Trung Quốc vốn đã đặt lịch ra mắt vào tháng 6/2024, tuy nhiên việc đối tác phân phối lớn nhất bỗng “quay xe” dừng hợp tác vào phút chót, đã khiến ngày chào sân của bộ 3 xe hoá Trung Quốc lùi lại sang tháng 7.
Xét về kích thước, BYD Atto 3 nằm chung phân khúc với các mẫu crossover hạng B khác như: Toyota Corolla Cross, hay VinFast VF6. Bộ pin của xe có thể hoạt động trong phạm vi 410 - 480 km, đi kèm hàng loạt trang bị tiện ích hấp dẫn.
Trong khi đó BYD Seal sẽ đối đầu với các mẫu sedan hạng D như: Toyota Camry, Honda Accord hay Mazda 6. Khả năng vận hành của mẫu xe điện này nằm trong khoảng 510 - 560 km tuỳ vào gói pin đi kèm.
Còn BYD Dolphin được nhiều người coi là cái tên hấp dẫn nhất trong số bộ ba tiên phong của thương hiệu Trung Quốc. Xe có lượng trang bị tiện ích vừa đủ dùng, nên sở hữu khoảng giá chỉ 500 - 600 triệu đồng tại Thái Lan, hứa hẹn con số niêm yết cũng sẽ rất hấp dẫn. Đi kèm với đó là khả năng hoạt động trong khoảng 400 - 500 km tuỳ theo dung lượng pin.
Thông tin đáng chú ý nhất đối với bản cập nhật lần này của Triton, đó là việc Mitsubishi sẽ chuyển sang sử dụng nền tảng chung với Navara. Thiết kế Dynamic Shield thế hệ cũ sẽ được nâng cấp mới, theo phong cách vuông vức và hiện đại.  Cụm đèn chiếu sáng chính full LED có diện mạo khá quen thuộc giống với đàn em Xpander.
Mitsubishi Triton 2024 sẽ sở hữu khối động cơ dầu 2.4L, cho sức mạnh 204 mã lực và 470 Nm mô-men xoắn đi kèm. Tương tự hiện tại, xe bán ra kèm tuỳ chọn hộp số sàn hay tự động 6 cấp, hệ dẫn động cầu sau hoặc 4 bánh.
Tại thị trường Việt Nam, Mitsubishi Triton đang là cái tên đứng thứ hai xét về doanh số, sau “vua bán chạy” Ford Ranger. Hồi giữa tháng qua, Toyota cũng đã tung ra bản cập nhật đối với Hilux, nhằm cạnh tranh trong phân khúc xe bán tải.
Hiện nay theo tìm hiểu, các nhân viên tư vấn bán hàng của thương hiệu Trung Quốc đã bắt đầu nhận đặt cọc mẫu cho crossover 06, hứa hẹn ngày về nước không còn xa. Về kích thước, xe sẽ đối đầu với những cái tên như; Peugeot 2008, VW T-Cross hay Honda HR-V.
Đây là mẫu xe hiếm hoi của thương hiệu Lynk & Co không được chỉa sẻ chung nền tảng động cơ và khung gầm từ “anh em họ” Volvo cùng tập đoàn. Tuy nhiên nhiều thông tin hứa hẹn Lynk & Co 06 sẽ có mức giá bán vô cùng cạnh tranh.
Xe vẫn sở hữu thiết kế quen thuộc giống những đàn anh 01, 05 hay 09 với cụm đèn full LED dạng “mắt ếch”. Đi kèm với đó là hàng loạt tiện ích cao cấp và khối động cơ 1.5L tăng áp cho công suất 174 mã lực, 265 Nm mô-men vượt trội hơn hẳn tất cả những đối thủ trong phân khúc crossover hạng B hiện nay."
8,Ô tô - Xe máy,"Nhà phân phối Subaru tại Việt Nam - Công ty TNHH Hình Tượng Ô Tô Việt Nam (MIV) - đã chính thức khai trương đại lý Subaru Thăng Long, cơ sở kinh doanh thứ năm của hãng tại Hà Nội, gồm các chức năng như: Trưng bày, kinh doanh ô tô, xưởng dịch vụ quy mô lớn thực hiện bảo dưỡng, sửa chữa, đồng sơn.
Bên cạnh đó, MIV cho biết cơ sở này cũng sẽ là đầu mối cung ứng phụ tùng và xe mới Subaru cho các đại lý Subaru ở miền Bắc. Đại lý mới của hãng xe Nhật Bản có tổng diện tích 3.500 m2, khu vực tư vấn và phòng chờ khách hàng đầy đủ tiện nghi và nhiều chiếc xe trưng bày với phong cách khác nhau.
Khu vực dịch vụ có 7 khoang cầu nâng hiện đại cùng các trang thiết bị và máy chẩn đoán lỗi. Subaru Thăng long cung cấp đầy đủ các dịch vụ hậu mãi, đảm bảo đáp ứng được nhu cầu bảo dưỡng và sửa chữa đến 40 lượt xe mỗi ngày, xưởng dịch vụ Subaru Thăng Long còn được trang bị thêm 2 buồng sơn xe hiện đại.
Ảnh chi tiết đại lý Subaru Thăng Long:"
9,Ô tô - Xe máy,"Bước sang tháng 6/2024, Ford Việt Nam tiếp tục áp dụng ưu đãi tương tự như các tháng trước, ưu tiên các gói mở rộng bảo hành và miễn phí bảo dưỡng định kỳ. Tuy nhiên, để kích cầu tốt hơn trong giai đoạn thị trường ảm đảm, hãng tung thêm chương trình bốc thăm trúng thưởng với cơ hội cho khách hàng mua xe có 5 chuyến du lịch đến miền Tây nước Mỹ.
Theo đó, hãng xe Mỹ áp dụng ưu đãi tặng 2 năm bảo dưỡng và tặng thêm 2 năm bảo hành đối với hầu hết các dòng sản phẩm của mình, bao gồm: Territory, Everest, Ranger hay Ranger Raptor. Riêng mẫu bán tải Ranger Raptor được tùy chọn 2 năm bảo hiểm vật chất.
Từ ngày 1/6/2024 đến hết ngày 15/7/2024, Ford Việt Nam triển khai chương trình “Thoả đam mê cùng Ford US Rally"" và tặng 5 chuyến du lịch Mỹ 8 ngày 7 đêm thông qua hình thức bốc thăm trúng thưởng trực tuyến bằng phần mềm vào ngày 22/07/2024 trên trang fanpage của Ford Việt Nam với cơ hội khám phá bờ Tây nước Mỹ.
Bên cạnh đó, khách hàng trúng thưởng sẽ được tham gia sự kiện đặc biệt với tên gọi “Raptor Rally” ở cơ sở đào tạo của đơn vị xe hiệu năng cao - Ford Performance được đặt tại Tooele, bang Utah, nước Mỹ. Tại đây, khách hàng được trải nghiệm điều khiển những sản phẩm off-road đầu bảng của Ford và nâng cao kỹ năng lái xe.
Trong tháng 5 vừa qua, các mẫu xe Ranger và Everest của Ford tiếp tục dẫn đầu các phân khúc bán tải và SUV cỡ trung tại thị trường Việt Nam, điều này giúp Ford đạt tổng doanh số 3.053 chiếc, tiếp tục giữ vị trí thứ ba về lượng xe bán ra, chỉ xếp sau Toyota và Hyundai."
10,Ô tô - Xe máy,"Với những nâng cấp mạnh mẽ, Kia New Sonet được kỳ vọng sẽ tiếp tục công cuộc cạnh tranh trong phân khúc SUV đô thị hạng A, mẫu xe này giờ sở hữu thiết kế hiện đại hơn cùng với bổ sung nhiều cải tiến về công nghệ, tiện nghi, tính năng an toàn và khả năng vận hành nhưng vẫn giữ nhiều chi tiết truyền thống của hãng xe Hàn Quốc.
Vẻ ngoài của Kia New Sonet vẫn sở hữu dạng hình khối góc cạnh, cứng cáp và mạnh mẽ. Trong khi đó, xe vẫn sở hữu cụm đèn LED hiện đại và mũi hổ đặc trưng, hai bên thân xe được dập nổi cho hiệu ứng độc đáo, vành xe 16 inch cũng giúp Sonet mới có khoảng sáng gầm lớn. Phần đuôi xe được trang bị cánh lướt gió tích hợp và đèn phanh trên cao.
Khoang nội thất của mẫu SUV đô thị khá rộng rãi khi có chiều dài cơ sở 2.500 mm, cùng với đó người lái cũng có khoảng quan sát rộng lớn hơn. Phía sau xe được trang bị khoang hành lý với dung tích mặc định 392 lít lớn nhất phân khúc, và có thể mở rộng khi hàng ghế thứ hai gập theo cấu trúc 60:40. Ngoài ra, xe tiếp tục được trang bị nhiều công nghệ hiện đại , điển hình là màn hình đồng hồ 4,2 inch, màn hình giải trí cảm ứng 10,25 inch tích hợp Apple CarPlay và Android Auto không dây...
Hệ thống khung gầm trên xe được tinh chỉnh nhẹ giúp tăng thêm sự chắc chắn. cùng với đó là động cơ 1.5G cho công suất tối đa 113 mã lực tại 6.300 vòng/phút & mô-men xoắn cực đại 144 Nm tại 4.500 vòng/phút, kết hợp với hộp số CVT giả lập 8 cấp. Kia New Sonet cũng được trang bị 3 chế độ lái Normal/Eco/Sport/ và 3 chế độ địa hình Snow/Mud/Sand.
Kia New Sonet được có sẵn nhiều tính năng hỗ trợ lái hiện đại như hệ thống điều khiển hành trình (Cruise Control) và giới hạn tốc độ (Manual Speed Limit Assist - MSLA), kết hợp cùng những hệ thống an toàn quen thuộc như: hệ thống chống bó cứng phanh (ABS), hệ thống phân phối lực phanh điện tử (EBD), hệ thống cân bằng điện tử (ESC), hệ thống hỗ trợ khởi hành ngang dốc (HAC), cảm biến áp suất lốp.
Bên cạnh đó, Thaco cũng giới thiệu thêm 2 phiên bản mới dành cho mẫu New Seltos, đó là 1.5L Deluxe và 1.5 Turbo Luxury, đồng thời cập nhật phiên bản mới 1.5L Luxury. 3 phiên bản này hướng đến các đối tượng khách hàng khác nhau.
Để tăng sức cạnh tranh, Kia New Seltos sở hữu một số trang bị riêng dành cho mỗi phiên bản mới. trong đó, 1.5L Deluxe sở hữu điều hòa tự động 2 vùng độc lập, phanh tay điện tử, màn hình AVN 10,25 inch, cảm biến áp suất lốp. Phiên bản 1.5L Luxury có 6 túi khí, điều khiển hành trình (Cruise Control) có tính năng giới hạn tốc độ (Manual Speed Limit Assist - MSLA). Trong khi đó, phiên bản 1.5 Turbo Luxury có đặc trưng là động cơ 1.5 tăng áp mạnh mẽ."
